 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;0,00611859640494871;0,930264708652397;0,922902512185741;0;0;0,196696616422838;0,186327213239941;-0,112431178411497;-0,092956047852763;0,0118631627672631;0,186499087761582;0,186313198286411;
extechWatt;0,00611859640494871;1;0,0983294593115036;0,109000827685215;-0,74111172036821;-0,74111172036821;-0,0427278360213427;-0,00344406754812698;0,348799825481669;0,466272848056808;0,466924570296969;-0,00460906793949729;-0,00355568568136585;
completionTime;0,930264708652397;0,0983294593115036;1;0,999621167012039;-0,105868563021703;-0,105868563021703;0,0155132918617895;-0,0188877224537502;-0,105468084209633;-0,0722269815501555;0,0534854266479785;-0,019095489696402;-0,0189090773712295;
J;0,922902512185741;0,109000827685215;0,999621167012039;1;-0,112762742364948;-0,112762742364948;0,0140432925503962;-0,0204941194339919;-0,103954226445449;-0,068696187530278;0,0597767037203306;-0,0207126845081653;-0,0205165521721057;
d0_mode_in;0;-0,74111172036821;-0,105868563021703;-0,112762742364948;1;1;0,515147048398098;0,333247075498705;-0,585932975237555;-0,627936256130395;-0,344014488623046;0,334525139279063;0,333369695137227;
d0_mode_out;0;-0,74111172036821;-0,105868563021703;-0,112762742364948;1;1;0,515147048398098;0,333247075498705;-0,585932975237555;-0,627936256130395;-0,344014488623046;0,334525139279063;0,333369695137227;
gpuBusy_1;0,196696616422838;-0,0427278360213427;0,0155132918617895;0,0140432925503962;0,515147048398098;0,515147048398098;1;0,801116535120606;-0,472326768372004;-0,4198060679049;-0,0312202662524148;0,80152328343751;0,801164836522243;
waveFronts_1;0,186327213239941;-0,00344406754812698;-0,0188877224537502;-0,0204941194339919;0,333247075498705;0,333247075498705;0,801116535120606;1;0,0435449054524066;0,0185324467740288;-0,0527218192589383;0,999992488603387;0,999999983812413;
AluBusy_1;-0,112431178411497;0,348799825481669;-0,105468084209633;-0,103954226445449;-0,585932975237555;-0,585932975237555;-0,472326768372004;0,0435449054524066;1;0,93808528304388;0,209191065817799;0,0423135714459325;0,0434219430003408;
aluPacking_1;-0,092956047852763;0,466272848056808;-0,0722269815501555;-0,068696187530278;-0,627936256130395;-0,627936256130395;-0,4198060679049;0,0185324467740288;0,93808528304388;1;0,534974344378449;0,017091634332682;0,018395308625523;
fetchUnitBusy_1;0,0118631627672631;0,466924570296969;0,0534854266479785;0,0597767037203306;-0,344014488623046;-0,344014488623046;-0,0312202662524148;-0,0527218192589383;0,209191065817799;0,534974344378449;1;-0,0537868667384422;-0,0528091763409932;
fetchUnitStalled_1;0,186499087761582;-0,00460906793949729;-0,019095489696402;-0,0207126845081653;0,334525139279063;0,334525139279063;0,80152328343751;0,999992488603387;0,0423135714459325;0,017091634332682;-0,0537868667384422;1;0,999992764659385;
fastPath_1;0,186313198286411;-0,00355568568136585;-0,0189090773712295;-0,0205165521721057;0,333369695137227;0,333369695137227;0,801164836522243;0,999999983812413;0,0434219430003408;0,018395308625523;-0,0528091763409932;0,999992764659385;1;
