 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,711632703399402;0,828321264482541;0,831227364706158;0;0;0,452085518787821;0,272615743804291;0,11419588801255;0,220117808312393;0,567573440501273;0,318318809172639;0,272725511722788;
extechWatt;0,711632703399402;1;0,490069228621047;0,493133374906854;-0,173410392909597;-0,173410392909597;0,672852505890155;0,372547464035599;0,322622311429011;0,44275468794635;0,638310381351936;0,401704651102381;0,372637589103231;
completionTime;0,828321264482541;0,490069228621047;1;0,999969173063563;-0,232447883479119;-0,232447883479119;0,164017751741316;0,0206800726468669;-0,0213833071278863;0,035023189402311;0,304186075936483;0,0501059120457476;0,0207425992959455;
J;0,831227364706158;0,493133374906854;0,999969173063563;1;-0,231465261738837;-0,231465261738837;0,166401001878093;0,0214253410274267;-0,0218904254784728;0,0354813372742524;0,309403563019646;0,0510405234433814;0,0214892382381034;
d0_mode_in;0;-0,173410392909597;-0,232447883479119;-0,231465261738837;1;1;0,311853473004157;0,445726267139179;0,203615296027425;0,205963429892129;0,00719767389875958;0,437676783967649;0,445718478574377;
d0_mode_out;0;-0,173410392909597;-0,232447883479119;-0,231465261738837;1;1;0,311853473004157;0,445726267139179;0,203615296027425;0,205963429892129;0,00719767389875958;0,437676783967649;0,445718478574377;
gpuBusy_2;0,452085518787821;0,672852505890155;0,164017751741316;0,166401001878093;0,311853473004157;0,311853473004157;1;0,583721865442475;0,390937138923018;0,528810710433737;0,732595385927666;0,588592735319161;0,583812474133479;
waveFronts_2;0,272615743804291;0,372547464035599;0,0206800726468669;0,0214253410274267;0,445726267139179;0,445726267139179;0,583721865442475;1;0,459612898991152;0,491314084562925;0,157938552373596;0,995490138348334;0,999999976483872;
AluBusy_2;0,11419588801255;0,322622311429011;-0,0213833071278863;-0,0218904254784728;0,203615296027425;0,203615296027425;0,390937138923018;0,459612898991152;1;0,982923841220607;-0,121791587043216;0,447374956995011;0,459564776226479;
aluPacking_2;0,220117808312393;0,44275468794635;0,035023189402311;0,0354813372742524;0,205963429892129;0,205963429892129;0,528810710433737;0,491314084562925;0,982923841220607;1;0,0629306175721904;0,483118650955381;0,491300198096888;
fetchUnitBusy_2;0,567573440501273;0,638310381351936;0,304186075936483;0,309403563019646;0,00719767389875958;0,00719767389875958;0,732595385927666;0,157938552373596;-0,121791587043216;0,0629306175721904;1;0,180118290703127;0,158124601311454;
fetchUnitStalled_2;0,318318809172639;0,401704651102381;0,0501059120457476;0,0510405234433814;0,437676783967649;0,437676783967649;0,588592735319161;0,995490138348334;0,447374956995011;0,483118650955381;0,180118290703127;1;0,995495898473348;
fastPath_2;0,272725511722788;0,372637589103231;0,0207425992959455;0,0214892382381034;0,445718478574377;0,445718478574377;0,583812474133479;0,999999976483872;0,459564776226479;0,491300198096888;0,158124601311454;0,995495898473348;1;
