 ;matrix_w;matrix_h;filter_size;samples;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;130;130;3;130;0;1;0;0;0;-1;-1;-1;-1;-1;-1;1,60099995136261;150,478125;2,5095489025116;20;9;1;1280000;2,9227180480957;2,22222208976746;45;5,37108421325684;0,125304996967316;330312,5;72,4739608764648;9,00000013643876E-05;0;0;0;0;320000;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;240,915470806137;
 ;258;130;3;130;0;1;0;0;0;-1;-1;-1;-1;-1;-1;1,82731795310974;153,347368421053;2,27981305122375;20;9;1;2695168;5,60399723052979;2,22222208976746;45;10,2351427078247;0,162945002317429;689913;72,6953125;8,09999983175658E-05;0;0;0;0;673792;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;280,214399377923;
 ;258;258;3;258;0;1;0;0;0;-1;-1;-1;-1;-1;-1;2,18088603019714;155,021875;2,23626303672791;20;9;1;3792896;9,81657123565674;2,22222208976746;45;17,8005447387695;0,136947005987167;963271,5;72,91015625;9,00000013643876E-05;0;0;0;0;948224;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;338,085041562468;
 ;514;258;3;258;0;1;0;0;0;-1;-1;-1;-1;-1;-1;2,78246092796326;152,51875;2,01948595046997;20;9;1;6025216;16,85107421875;2,22222208976746;45;30,7968063354492;0,498948007822037;1524139,875;73,017578125;0,0687469989061356;0;0;0;0;1506304;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;424,377462656796;
 ;514;514;3;514;0;1;0;0;0;-1;-1;-1;-1;-1;-1;3,6967658996582;161,808823529412;2,04004502296448;20;9;1;9752576;25,459400177002;2,22222208976746;45;46,4370422363281;0,638324022293091;2457340,75;73,1233749389648;0,0689759999513626;0;0;0;0;2438144;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;598,169341087341;
 ;1026;514;3;514;0;1;0;0;0;-1;-1;-1;-1;-1;-1;5,5422158241272;154,10625;2,14861989021301;20;9;1;12419072;31,7114562988281;2,22222208976746;45;62,4054336547852;5,49042177200317;3123054,75;73,17626953125;0,0380019992589951;0;0;0;0;3104768;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;854,090097346902;
 ;1026;1026;3;1026;0;1;0;0;0;-1;-1;-1;-1;-1;-1;9,22138977050781;154,423529411765;2,20414805412292;20;9;1;15319040;37,8219604492188;2,22222208976746;45;74,3699722290039;6,47975492477417;3844778,5;73,228759765625;0,0355559997260571;0;0;0;0;3829760;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1423,99955444336;
 ;2050;1026;3;1026;0;1;0;0;0;-1;-1;-1;-1;-1;-1;16,4629974365234;154,614705882353;2,77645993232727;20;9;1;17268736;33,6266746520996;2,22222208976746;45;85,3411560058594;25,0251197814941;4329870;73,2549743652344;0,00516699999570847;0;0;0;0;4317184;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2545,42150659;
 ;2050;2050;3;2050;0;1;0;0;0;-1;-1;-1;-1;-1;-1;30,4448394775391;153,04375;2,85959601402283;20;9;1;18415616;35,430721282959;2,22222208976746;45;88,6860809326172;25,1016292572021;4612982,5;73,2807464599609;0,00272500002756715;0;0;0;0;4603904;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4659,39240179062;
 ;4098;2050;3;2050;0;1;0;0;0;-1;-1;-1;-1;-1;-1;94,4117660522461;153,765384615385;11,0637798309326;20;9;1;8912896;5,24393320083618;2,22222208976746;45;15,5734510421753;6,19927597045898;2244961,5;73,1377868652344;0,000153000000864267;0;0;0;0;2228224;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14517,2615192413;
 ;4098;4098;3;4098;0;1;0;0;0;-1;-1;-1;-1;-1;-1;219,820510864258;152,665789473684;8,81135940551758;20;9;1;10223616;5,19041585922241;2,22222208976746;45;15,651554107666;6,36394119262695;2572508,25;73,1648559570313;0,000661999976728112;0;0;0;0;2555904;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33559,0718336005;
