 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;0,223877060687406;0,948257532772508;0,947057814874733;Non un numero reale;Non un numero reale;0,191250537608631;0,214454491320807;0,592711734909635;-0,389794782813655;-0,438844707378538;0,214857061637382;0,214438233855672;
extechWatt;0,223877060687406;1;0,232104380299141;0,234336542652239;Non un numero reale;Non un numero reale;0,50716885078243;0,530307913730598;0,536742492133929;-0,527228758224403;-0,542304419067966;0,528593411353333;0,53028071108221;
completionTime;0,948257532772508;0,232104380299141;1;0,99998936438001;Non un numero reale;Non un numero reale;-0,027943931305976;-0,00637817792116911;0,43263409504414;-0,272648761118188;-0,31035510373832;-0,00651649796572407;-0,0063904939968458;
J;0,947057814874733;0,234336542652239;0,99998936438001;1;Non un numero reale;Non un numero reale;-0,0291535448185919;-0,00763261474444987;0,431190959617325;-0,272263232434134;-0,309758452145384;-0,00778474735449364;-0,00764492858001046;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_1;0,191250537608631;0,50716885078243;-0,027943931305976;-0,0291535448185919;Non un numero reale;Non un numero reale;1;0,9956538698983;0,806322369645673;-0,843834264270023;-0,854546569900356;0,995497668677503;0,995659773587076;
waveFronts_1;0,214454491320807;0,530307913730598;-0,00637817792116911;-0,00763261474444987;Non un numero reale;Non un numero reale;0,9956538698983;1;0,822590879512744;-0,842362011960969;-0,856712266201469;0,999992503054244;0,999999996395604;
AluBusy_1;0,592711734909635;0,536742492133929;0,43263409504414;0,431190959617325;Non un numero reale;Non un numero reale;0,806322369645673;0,822590879512744;1;-0,873073420153099;-0,914907654118693;0,823377291519438;0,822595835606846;
aluPacking_1;-0,389794782813655;-0,527228758224403;-0,272648761118188;-0,272263232434134;Non un numero reale;Non un numero reale;-0,843834264270023;-0,842362011960969;-0,873073420153099;1;0,99554889891379;-0,842044166016638;-0,842381774099898;
fetchUnitBusy_1;-0,438844707378538;-0,542304419067966;-0,31035510373832;-0,309758452145384;Non un numero reale;Non un numero reale;-0,854546569900356;-0,856712266201469;-0,914907654118693;0,99554889891379;1;-0,85658771368022;-0,856729204892904;
fetchUnitStalled_1;0,214857061637382;0,528593411353333;-0,00651649796572407;-0,00778474735449364;Non un numero reale;Non un numero reale;0,995497668677503;0,999992503054244;0,823377291519438;-0,842044166016638;-0,85658771368022;1;0,999992466771291;
fastPath_1;0,214438233855672;0,53028071108221;-0,0063904939968458;-0,00764492858001046;Non un numero reale;Non un numero reale;0,995659773587076;0,999999996395604;0,822595835606846;-0,842381774099898;-0,856729204892904;0,999992466771291;1;
