 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
 ;16900;151,326470588235;1,52252304553986;230,398038870797;1;1;6,30926418304443;1506048;1,23320305347443;21,4636726379395;19,3364734649658;388645,6875;376512;
 ;33540;151,455555555556;1,70858705043793;258,775000939104;1;1;10,8087673187256;2695168;1,30153894424438;23,7355461120605;21,5433864593506;689913;673807,375;
 ;66564;154,87;1,98099994659424;306,79746172905;1;1;14,1663017272949;5120000;1,71996295452118;22,3036212921143;19,2911510467529;1300312,5;1280153,75;
 ;132612;151,967647058824;2,35475206375122;357,846130535182;1;1;22,5973224639893;7585792;1,79692196846008;18,1394424438477;15,1059951782227;1918903,5;1897044,875;
 ;264196;154,1375;3,21520495414734;495,583653619885;1;1;29,2075748443604;10506240;1,95932495594025;16,5799942016602;13,2618951797485;2647240,25;2627098;
 ;527364;152,997368421053;4,62959289550781;708,315529873497;1;1;40,5812606811523;16719872;2,02105188369751;16,0053749084473;12,5608568191528;4204587,5;4180666,5;
 ;1052676;155,283333333333;7,49183082580566;1163,35646340052;1;1;47,9401550292969;19054592;2,13229489326477;15,8133010864258;12,1518850326538;4782328,5;4764523,5;
 ;2103300;159,720588235294;12,6439723968506;2019,5027088558;1;1;54,3982543945313;23101440;2,17743301391602;15,1045961380005;11,32643699646;5792379;5775914;
 ;4202500;154,765625;25,1195335388184;3887,64030784369;1;1;58,5238914489746;22478848;2,11076307296753;15,2725801467896;11,6067180633545;5630728,5;5620735;
 ;8400900;152,214705882353;50,3136100769043;7658,47135973538;1;1;52,5847320556641;22151168;2,41732788085938;16,3158321380615;12,093337059021;5580090;5538486;
 ;16793604;155,764705882353;266,388885498047;41493,9863999311;1;1;24,1274471282959;9437184;2,28799510002136;16,0947704315186;12,1137771606445;2375359,5;2359617;
