 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1
 ;16900;145,5944444;1,386680961;201,8930441;2;2;3,57921505;1706752;2,489893913;4,482859135;0,001185;440438,6875;426688
 ;33540;140,3394737;1,60800004;225,6658793;2;2;5,013323784;3200000;2,995699883;5,392945766;0,000742;819140,625;800022,75
 ;66564;144,35;1,739248991;251,0605919;2;2;8,448669434;6024192;3,343902111;6,019432068;0,000452;1529947,75;1506186,5
 ;132612;142,2375;1,928725958;274,3371584;2;2;14,91770077;8534016;3,31812191;5,973062992;0,000526;2158766,5;2134132,75
 ;264196;147,6441176;2,284286976;337,261535;2;2;23,87598991;15171584;3,427599907;6,16989994;0,000263;3822759,5;3794022,75
 ;527364;147,8888889;3,248131037;480,36249;2;2;34,03626251;24100864;3,494043112;6,301939011;0,019300001;6060704;6026711,5
 ;1052676;143,6730769;4,969976902;714,0518737;2;2;42,58892441;21282816;3,501513958;6,313879967;0,01595;5341569;5322639
 ;2103300;149,1944444;8,429249763;1257,597236;2;2;49,35795975;34504704;3,646938086;6,714764118;0,170120001;8651517;8628500
 ;4202500;146,9892857;15,421978;2266,86553;2;2;53,92402267;29818880;3,673434019;6,72459507;0,132848993;7469325;7456711,5
 ;8400900;147,2866667;29,69291306;4373,370188;2;2;56,98616409;33292288;3,670077085;6,884730816;0,293796986;8386620,5;8325670
 ;16793604;143,9409091;141,5238037;20371,06496;2;2;24,00588989;11010048;3,678383112;6,973504066;0,368553013;2771499,5;2753313,5
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0,999880973;0,456369554;0,999906921;1;#DIV/0!;#DIV/0!;0,835806355;0,778354426;0,596495658;0,637562745;0,855934;0,777174294;0,778346658
