 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,749252025094925;0,960268930859155;0,960390871465477;Non un numero reale;Non un numero reale;0,534635734015317;0,549634195043337;-0,0690455331891679;0,198782614994554;0,880005050083156;0,633854853599063;0,550110359293366;
extechWatt;0,749252025094925;1;0,605965423244596;0,606209367657809;Non un numero reale;Non un numero reale;0,906152006572982;0,737169519604172;0,109508614225593;0,384075191711444;0,931454422880362;0,774810918340635;0,737403121374018;
completionTime;0,960268930859155;0,605965423244596;1;0,999997670032088;Non un numero reale;Non un numero reale;0,332000741722857;0,486891175764255;-0,0737702038885005;0,150093351658963;0,732530011143563;0,571198935274801;0,487368776513871;
J;0,960390871465477;0,606209367657809;0,999997670032088;1;Non un numero reale;Non un numero reale;0,331928792890875;0,486352881649992;-0,0745019758840988;0,149462953664581;0,732750553290595;0,570739020428147;0,486830846116151;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_2;0,534635734015317;0,906152006572982;0,332000741722857;0,331928792890875;Non un numero reale;Non un numero reale;1;0,74466505936684;0,30322872447146;0,541813427385956;0,843271605918623;0,752766317853715;0,744738939475987;
waveFronts_2;0,549634195043337;0,737169519604172;0,486891175764255;0,486352881649992;Non un numero reale;Non un numero reale;0,74466505936684;1;0,156077537635201;0,348360297939625;0,664613174193296;0,994384675643497;0,999999836192492;
AluBusy_2;-0,0690455331891679;0,109508614225593;-0,0737702038885005;-0,0745019758840988;Non un numero reale;Non un numero reale;0,30322872447146;0,156077537635201;1;0,953807471556538;0,00715076377968291;0,129362840467081;0,155957761490252;
aluPacking_2;0,198782614994554;0,384075191711444;0,150093351658963;0,149462953664581;Non un numero reale;Non un numero reale;0,541813427385956;0,348360297939625;0,953807471556538;1;0,307230793538386;0,340640998675106;0,348350556658973;
fetchUnitBusy_2;0,880005050083156;0,931454422880362;0,732530011143563;0,732750553290595;Non un numero reale;Non un numero reale;0,843271605918623;0,664613174193296;0,00715076377968291;0,307230793538386;1;0,723541913717315;0,664960077184156;
fetchUnitStalled_2;0,633854853599063;0,774810918340635;0,571198935274801;0,570739020428147;Non un numero reale;Non un numero reale;0,752766317853715;0,994384675643497;0,129362840467081;0,340640998675106;0,723541913717315;1;0,994444715941441;
fastPath_2;0,550110359293366;0,737403121374018;0,487368776513871;0,486830846116151;Non un numero reale;Non un numero reale;0,744738939475987;0,999999836192492;0,155957761490252;0,348350556658973;0,664960077184156;0,994444715941441;1;
