 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2
 ;16900;145,8948276;2,04279995;298,0339464;1;1;9,834273338;35328;12,94929504;23,31355095;0,007148;9116,625;8832
 ;33540;142,6833333;2,071199894;295,5257049;1;1;12,37599373;91648;20,80840302;37,88072968;0,43659699;23460,1875;22912
 ;66564;146,0464286;2,151122093;314,1636991;1;1;16,62698364;80896;29,67188454;53,76307678;0,35888201;20544,9375;20224
 ;132612;142,8816667;2,668833017;381,3273096;1;1;20,99378586;133120;37,91298294;68,83095551;0,606558979;33674,0625;33280
 ;264196;145,0166667;3,217744112;466,6265253;1;1;32,43270111;499712;44,02983856;79,67576599;0,427033007;125913,125;124928,125
 ;527364;149,2722222;3,91003108;583,6590283;1;1;33,67951202;24576;47,45443726;86,34601593;0,953514993;6186,875;6144
 ;1052676;154,1846154;5,759893894;888,0870247;1;1;52,8451767;344064;40,61925888;79,15553284;6,096175194;86644;86028,9375
 ;2103300;157,376;9,422171593;1482,823677;1;1;64,38975525;950272;33,98285675;67,50879669;6,411211014;248351,9375;237600,75
 ;4202500;156,386;16,61630249;2598,557081;1;1;70,16046143;786432;32,07582855;66,70781708;9,072577477;205906,9375;196646,1875
 ;8400900;159,914;30,50557518;4878,268549;1;1;79,83228302;393216;31,05403137;70,15716553;14,43565273;118371,875;98394,9375
 ;16793604;160,2173913;131,1864471;21018,35034;1;1;51,05232239;786432;30,5087986;69,39746094;14,62071896;236734,125;196797,5625
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0,999727926;0,831256446;0,999918281;1;#DIV/0!;#DIV/0!;0,891126408;0,806077609;0,126194547;0,274697914;0,928589583;0,811961122;0,806119489
