 ;matrix_w;matrix_h;filter_size;samples;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;130;130;3;130;0;1;1;1;1;-1;-1;-1;-1;-1;-1;2,042799949646;145,894827586207;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9,83427333831787;20;5,34782600402832;0,594202995300293;35328;12,9492950439453;3,73983693122864;45;23,3135509490967;0,00714799994602799;9116,625;67,596565246582;3,80058908462524;0;0;0;0;8832;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;298,033946446715;
 ;258;130;3;130;0;1;1;1;1;-1;-1;-1;-1;-1;-1;2,07119989395142;142,683333333333;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12,3759937286377;20;2,01117300987244;0,223463997244835;91648;20,8084030151367;9,94444465637207;45;37,880729675293;0,436596989631653;23460,1875;70,5405883789063;3,77389001846313;0;0;0;0;22912;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;295,525704868635;
 ;258;258;3;258;0;1;1;1;1;-1;-1;-1;-1;-1;-1;2,15112209320068;146,046428571429;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16,6269836425781;20;10,4810123443604;1,16455698013306;80896;29,6718845367432;1,90821301937103;45;53,7630767822266;0,358882009983063;20544,9375;70,7103958129883;2,64948797225952;0;0;0;0;20224;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;314,163699133056;
 ;514;258;3;258;0;1;1;1;1;-1;-1;-1;-1;-1;-1;2,66883301734924;142,881666666667;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20,9937858581543;20;8,72307682037354;0,969231009483337;133120;37,9129829406738;2,29276895523071;45;68,8309555053711;0,606558978557587;33674,0625;73,017578125;1,60707199573517;0;0;0;0;33280;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;381,327309573889;
 ;514;514;3;514;0;1;1;1;1;-1;-1;-1;-1;-1;-1;3,21774411201477;145,016666666667;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32,4327011108398;20;1,25409805774689;0,13934400677681;499712;44,0298385620117;15,9477119445801;45;79,6757659912109;0,427033007144928;125913,125;73,123046875;1,41311502456665;0;0;0;0;124928,125;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;466,626525310675;
 ;1026;514;3;514;0;1;1;1;1;-1;-1;-1;-1;-1;-1;3,91003108024597;149,272222222222;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33,6795120239258;20;27;3;24576;47,4544372558594;0,740741014480591;45;86,3460159301758;0,953514993190765;6186,875;73,1472473144531;11,1250295639038;0;0;0;0;6144;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;583,659028306272;
 ;1026;1026;3;1026;0;1;1;1;1;-1;-1;-1;-1;-1;-1;5,75989389419556;154,184615384615;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;52,8451766967773;20;30,4285717010498;3,38095188140869;344064;40,6192588806152;0,65727698802948;45;79,1555328369141;6,09617519378662;86644;73,1390609741211;38,0199394226074;0;0;0;0;86028,9375;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;888,087024732737;
 ;2050;1026;3;1026;0;1;1;1;1;-1;-1;-1;-1;-1;-1;9,4221715927124;157,376;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64,3897552490234;20;8,68965530395508;0,965516984462738;950272;33,9828567504883;2,30158710479736;45;67,5087966918945;6,41121101379395;248351,9375;72,129264831543;65,4366683959961;0;0;0;0;237600,75;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1482,82367657471;
 ;2050;2050;3;2050;0;1;1;1;1;-1;-1;-1;-1;-1;-1;16,6163024902344;156,386;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;70,1604614257813;20;14,25;1,58333301544189;786432;32,0758285522461;1,40350902080536;45;66,7078170776367;9,07257747650146;205906,9375;72,0777969360352;73,1862640380859;0;0;0;0;196646,1875;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2598,55708123779;
 ;4098;2050;3;2050;0;1;1;1;1;-1;-1;-1;-1;-1;-1;30,5055751800537;159,914;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;79,8322830200195;20;29,00390625;3,22265601158142;393216;31,0540313720703;0,689562022686005;45;70,1571655273438;14,4356527328491;118371,875;67,8970718383789;72,8342056274414;0;0;0;0;98394,9375;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4878,26854934311;
