 ;vector_size;samples;use_float_4;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;65536;8334000128;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;0,852532029151917;150,271428571429;2,02273392677307;108,5;2;0,5;266688;4,73459100723267;54,25;30,8755760192871;0,34909400343895;0;533376;0;0;19;11;0,709097981452942;1,1781929731369;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;128,111205923557;
 ;131072;8334000128;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;0,936044991016388;150,5;1,83259499073029;108,5;2;0,5;533376;9,51792526245117;54,25;30,8755760192871;0,701783001422882;0;1066752;0;0;19;11;1,69983398914337;2,36851596832275;8334;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;140,874771147966;
 ;262144;7693000192;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;1,03938603401184;152,25;1,77840900421143;108,5;2;0,5;984704;17,9648170471191;54,25;30,8755760192871;1,32807004451752;0,00479499995708466;1969408;0;0;19;11;3,57243895530701;4,47050809860229;7693;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;158,246523678303;
 ;524288;5000000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;1,42279994487762;153,65;1,64049303531647;108,5;2;0,5;1280000;27,9342079162598;54,25;30,8755760192871;3,41390991210938;1,60453605651855;2560000;0;0;19;11;6,2717170715332;6,95136976242065;10000;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;218,613211530447;
 ;1048576;3448999936;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;2,02957391738892;156,884615384615;1,53203499317169;108,5;2;0,5;1765888;41,7717094421387;54,25;30,8755760192871;4,93814420700073;2,21441698074341;3531776;0;0;19;11;9,40684604644775;10,3948030471802;13796;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;318,408923424207;
 ;2097152;2440000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;3,1077868938446;157,396666666667;1,50386595726013;108,5;2;0,5;2498560;55,7259902954102;54,25;30,8755760192871;5,23375606536865;1,34284996986389;4997120;0;0;19;11;12,5418014526367;13,8672971725464;19520;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;489,155297801494;
 ;4194304;356000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;5,15730285644531;149,5125;1,72206604480743;108,5;2;0,5;731936;58,5673484802246;54,25;30,8755760192871;4,97861099243164;0,739176988601685;1463872;0;0;19;11;13,1441717147827;14,5743637084961;5696;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;771,08124332428;
 ;8388608;306000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;9,20588207244873;152,741666666667;1,68394804000854;108,5;2;0,5;1258272;67,6586761474609;54,25;30,8755760192871;5,31997299194336;0,386079013347626;2516544;0;0;19;11;15,145281791687;16,8367214202881;9792;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1406,12177088261;
 ;16777216;213000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;17,1830997467041;155,107142857143;1,61849200725555;108,5;2;0,5;1751712;75,7839584350586;54,25;30,8755760192871;5,79204082489014;0,229422003030777;3503424;0;0;19;11;16,9552192687988;18,8586807250977;13632;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2665,22150714057;
 ;33554432;147000000;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;32,9523811340332;152,17;1,59757196903229;108,5;2;0,5;2417856;80,277229309082;54,25;30,8755760192871;6,03159618377686;0,123928003013134;4835712;0;0;19;11;17,9574394226074;19,9768218994141;18963;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5014,36383716583;
