 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;;J/size
 ;65536;152,065625;1,214789033;184,7276535;1;1;3,90802002;213344;1,682474017;0,124053001;0;426688;0;;0,00281872
 ;131072;147,025;1,394371986;205,0075413;1;1;4,89449501;457152;2,312522888;0,170508996;0;914304;7143;;0,001564083
 ;262144;143,8894737;1,538400054;221,3595741;1;1;7,388009071;800000;2,847278118;9,93266964;10,81443214;1600000;6250;;0,00084442
 ;524288;141,775;1,735561967;246,0592979;1;1;11,60984039;1347584;3,199152946;63,61941147;64,39791107;2695168;10528;;0,000469321
 ;1048576;146,8088235;1,868235946;274,2735213;1;1;19,19432068;2327552;3,404699087;78,6796875;80,42424774;4655104;18184;;0,000261568
 ;2097152;148,5766667;2,381277084;353,8022116;1;1;30,90452957;3303424;3,518294096;85,59803772;88,48492432;6606848;25808;;0,000168706
 ;4194304;143,7166667;3,448193073;495,5628145;1;1;43,16283035;853240;3,560480118;86,78816986;90,77640533;1706480;6640;;0,000118151
 ;8388608;142,01;5,600543022;795,3331146;1;1;52,38601303;1513216;3,60473299;87,8751297;94,00315094;3026432;11776;;9,48111E-05
 ;16777216;143,4857143;10,30303001;1478,337621;1;1;59,41173172;2442528;3,625163078;87,25099182;94,40552521;4885056;19008;;8,81158E-05
 ;33554432;149,1888889;19,52272606;2912,573809;1;1;58,18195343;3618560;3,638804913;85,4878006;95,68365479;7237120;28380;;8,68015E-05
 ;67108864;152,22;59,96341324;9127,630763;1;1;37,32440948;2697472;3,640925884;85,83003235;98,44485474;5394944;21074;;0,000136012
