 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
 ;65536;147,767857142857;1,17974603176117;174,328543086137;1;2;11,7496500015259;3360;22,1199836730957;3,21167802810669;1,67055702209473;6720;0;
 ;131072;145,187931034483;1,18994498252869;172,765650058204;1;2;12,4812746047974;25920;32,269832611084;9,6682014465332;7,55168199539185;51840;202,5;
 ;262144;145,504838709677;1,25809895992279;183,059486244379;1;2;17,2499141693115;35840;44,530704498291;10,4028558731079;7,34405279159546;71680;280;
 ;524288;147,342307692308;1,35808002948761;200,102645575542;1;2;21,9187870025635;52992;54,8926010131836;8,80474185943604;4,85874700546265;105984;414;
 ;1048576;144,504;1,72099995613098;248,691377660751;1;2;31,3110694885254;147456;62,9821434020996;7,265793800354;2,71018695831299;294912;1152;
 ;2097152;146,356818181818;2,02537798881531;296,427878058499;1;2;41,2048568725586;207872;67,6145401000977;6,50389099121094;1,56171596050262;415744;1624;
 ;4194304;143,0875;2,8345320224762;405,586100766063;1;2;58,4053382873535;376248;68,4547500610352;6,1786208152771;1,14030599594116;752496;2928;
 ;8388608;147,07;3,76335906982422;553,477218399048;1;2;58,6203002929688;185040;70,7126693725586;5,92031288146973;0,715260028839111;370080;1440;
 ;16777216;144,178571428571;5,79940986633301;836,150629656655;1;2;64,0195465087891;172704;71,9786911010742;5,6925311088562;0,400166004896164;345408;1344;
 ;33554432;149,21875;9,6582727432251;1441,19538590312;1;2;15,5780220031738;32896;71,6955871582031;5,83276796340942;0,566835999488831;65792;257;
 ;67108864;156,907142857143;42,9298248291016;6735,99615729196;1;2;30,8414344787598;32768;71,536979675293;6,37380981445313;1,14508998394012;65536;256;
