 ;vector_size;samples;use_float_4;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;65536;8334000128;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;1,17974603176117;147,767857142857;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11,7496500015259;108,5;7,00952386856079;1,7523809671402;3360;22,1199836730957;15,4789400100708;30,8755760192871;3,21167802810669;1,67055702209473;6720;0;0;66,5904769897461;38,5523796081543;8,55779552459717;16,1582183837891;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;174,328543086137;
 ;131072;8334000128;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;1,18994498252869;145,187931034483;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12,4812746047974;108,5;0,227160006761551;0,0567900016903877;25920;32,269832611084;477,635864257813;30,8755760192871;9,6682014465332;7,55168199539185;51840;0;0;2,15802502632141;1,24938297271729;6,25865411758423;8,5391960144043;202,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;172,765650058204;
 ;262144;8334000128;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;1,25809895992279;145,504838709677;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17,2499141693115;108,5;1,46428596973419;0,366070985794067;35840;44,530704498291;74,0975646972656;30,8755760192871;10,4028558731079;7,34405279159546;71680;0;0;13,9107141494751;8,0535717010498;9,64165019989014;12,2818555831909;280;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;183,059486244379;
 ;524288;6249999872;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;1,35808002948761;147,342307692308;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21,9187870025635;108,5;1,59420299530029;0,398550987243652;52992;54,8926010131836;68,0590896606445;30,8755760192871;8,80474185943604;4,85874700546265;105984;0;0;15,1449279785156;8,76811599731445;10,9128932952881;13,5132656097412;414;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;200,102645575542;
 ;1048576;5000000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;1,72099995613098;144,504;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;31,3110694885254;108,5;1,45138895511627;0,362847000360489;147456;62,9821434020996;74,7559814453125;30,8755760192871;7,265793800354;2,71018695831299;294912;0;0;13,7881946563721;7,98263883590698;19,8299865722656;24,2411117553711;1152;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;248,691377660751;
 ;2097152;3704000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;2,02537798881531;146,356818181818;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41,2048568725586;108,5;1,88177299499512;0,4704430103302;207872;67,6145401000977;57,6583786010742;30,8755760192871;6,50389099121094;1,56171596050262;415744;0;0;17,8768482208252;10,3497533798218;35,9615173339844;43,5700988769531;1624;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;296,427878058499;
 ;4194304;417000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;2,8345320224762;143,0875;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;58,4053382873535;108,5;1,82513701915741;0,456283986568451;376248;68,4547500610352;59,4476051330566;30,8755760192871;6,1786208152771;1,14030599594116;752496;0;0;17,3387985229492;10,0382509231567;21,1295776367188;25,547061920166;2928;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;405,586100766063;
 ;8388608;393000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;3,76335906982422;147,07;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;58,6203002929688;108,5;3,11111092567444;0,777778029441834;185040;70,7126693725586;34,875;30,8755760192871;5,92031288146973;0,715260028839111;370080;0;0;29,5555553436279;17,1111106872559;65,6234512329102;79,2503280639648;1440;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;553,477218399048;
 ;16777216;339000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;5,79940986633301;144,178571428571;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64,0195465087891;108,5;3,61904811859131;0,904762029647827;172704;71,9786911010742;29,9802627563477;30,8755760192871;5,6925311088562;0,400166004896164;345408;0;0;34,3809509277344;19,9047622680664;98,5696334838867;100;1344;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;836,150629656655;
 ;33554432;278000000;1;0;1;1;1;2;-1;-1;-1;-1;-1;-1;9,6582727432251;149,21875;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15,5780220031738;108,5;54;13,5;32896;71,6955871582031;2,00925898551941;30,8755760192871;5,83276796340942;0,566835999488831;65792;0;0;513;297;100;100;257;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1441,19538590312;
