 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1
 ;65536;150,9647059;1,764804959;266,4232616;0;0;2,392627001;304768;0,357241005;0,501760006;0,230306998;609536;304768
 ;131072;157,49375;1,981999993;312,1526114;0;0;2,917907;512000;0,508651972;1,290791035;0,905934989;1024000;512000
 ;262144;153,0235294;2,644140959;404,6157818;0;0;3,997087955;825856;0,55398798;3,216459036;2,819096088;1651712;826005,75
 ;524288;153,5352941;3,555999994;545,971505;0;0;5,810263157;1280000;0,588433027;3,694013119;3,281610012;2560000;1280191,875
 ;1048576;155,7088235;5,110323906;795,7225232;0;0;7,604772091;1735680;0,609188974;2,147872925;1,69630599;3471360;1735949,625
 ;2097152;153,0764706;8,248408318;1262,637233;0;0;9,414456367;2250752;0,613910019;1,304232001;0,831592023;4501504;2251060,5
 ;4194304;151,8805556;14,51192379;2204,079047;0;0;10,62375259;2576384;0,620706022;0,916947007;0,429845989;5152768;2576688
 ;8388608;152,7823529;26,74397659;4086,007671;0;0;11,65367985;2719744;0,618368983;2,237121105;1,771868944;5439488;2719943,5
 ;16777216;149,0705882;51,139534;7623,400415;0;0;12,13181114;2818048;0,623893976;0,614482999;0,117849;5636096;2818326
 ;33554432;148,3352941;100,7093048;14938,74435;0;0;21,87235451;2818048;0,348744005;0,31387201;0,035652999;5636096;2818329,5
 ;67108864;147,6775;295,2941284;43608,29865;0;0;15,10588837;2228224;0,35175401;0,303220004;0,022732999;4456448;2228423
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0,999747605;-0,63681971;0,999926444;1;#DIV/0!;#DIV/0!;0,784469281;0,755697204;0,468297028;-0,354269186;-0,391463943;0,755697204;0,755673425
