 ;vector_size;samples;use_float_4;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;65536;7693;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;1,2581570148468;140,886842105263;5,44237899780273;10;2;1;492352;0,216102004051208;5;32;8,30307865142822;9,70504760742188;984704;0;15,6310796737671;0;0;0;0;492352;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;177,257768694351;
 ;131072;6667;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;1,31468403339386;142,219444444444;9,36671543121338;10;2;1;853376;0,221031993627548;5;32;30,2052726745605;30,8002471923828;1706752;0;50,6989479064941;0;0;0;0;853376;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;186,973632849256;
 ;262144;5556;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;1,79679596424103;139,85;15,2726411819458;10;2;1;1422336;0,219610005617142;5;32;48,1552505493164;48,717845916748;2844672;0;75,0161666870117;0;0;0;0;1422992;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;251,281915599108;
 ;524288;4167;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;2,25653910636902;146,018421052632;24,9491348266602;10;2;1;2133504;0,21764600276947;5;32;56,5531997680664;56,8303909301758;4267008;0;87,1584167480469;0;0;0;0;2135200,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;329,49627735552;
 ;1048576;2632;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;3,07446789741516;150,5125;32,848705291748;10;2;1;2695168;0,242054998874664;5;32;38,0298194885254;38,4996643066406;5390336;0;92,7733764648438;0;0;0;0;2697248,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;462,745849409699;
 ;2097152;1667;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;4,96160793304443;148,375;37,2787666320801;10;2;1;3414016;0,257028996944427;5;32;20,4149131774902;20,5614891052246;6828032;0;95,8796005249023;0;0;0;0;3415504;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;736,178577065468;
 ;4194304;926;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;8,56047534942627;147,163333333333;41,5030746459961;10;2;1;3792896;0,269679009914398;5;32;10,8480949401855;10,8132429122925;7585792;0;97,6175537109375;0;0;0;0;3793753,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1259,7880873394;
 ;8388608;500;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;15,96399974823;151,775;43,6877517700195;10;2;1;4096000;0,277298986911774;5;32;5,67677211761475;5,54559803009033;8192000;0;98,1865844726563;0;0;0;0;4096640,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2422,93606178761;
 ;16777216;258;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;30,8720932006836;146,196875;45,8085556030273;10;2;1;4227072;0,272199988365173;5;32;2,89930105209351;2,72615504264832;8454144;0;94,0000457763672;0;0;0;0;4227698,5;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4513,40355064869;
 ;33554432;140;1;4;1;0;1;2;-1;-1;-1;-1;-1;-1;61,9357147216797;145,588235294118;45,7833099365234;10;2;1;4587520;0,270343005657196;5;32;1,54846096038818;1,35510504245758;9175040;0;89,8379898071289;0;0;0;0;4588218;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9017,11140800925;
