 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;1667;0;1;0;1;1;0;-1;-1;0;-1;-1;1,88422298431396;93,1333333333333;1561,44813410441;10;2;1;106688;23,3403300662835;5;32;315,012702290217;307,982244793574;213376;0;18,0115213423967;0;0;0;0;106688;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,103248000144958;-1;175,483967272441;65536;
 ;131072;1667;0;1;0;1;1;0;-1;-1;0;-1;-1;2,1133770942688;91,40625;1716,03619605303;10;2;1;213376;35,8971536625177;5;32;1626,85491889715;1657,47784674168;426752;0;403,350729122758;0;0;0;0;213376;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,187658995389938;-1;193,175875023007;131072;
 ;262144;1250;0;1;0;1;1;0;-1;-1;0;-1;-1;1,82879996299744;121,71;2659,18038528442;10;2;1;320000;24,9320508550107;5;32;4047,99964553833;4085,2010900116;640000;0;8040,12887420654;0;0;0;0;320154,875;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,273075997829437;-1;222,583243496418;262144;
 ;524288;1000;0;1;0;1;1;0;-1;-1;0;-1;-1;2,83800005912781;120,916666666667;2993,34871689479;10;2;1;512000;30,0548048006992;5;32;5242,04220867157;5267,2929910024;1024000;0;9711,0053990682;0;0;0;0;512381,75;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,606839001178741;-1;343,161507149537;524288;
 ;1048576;715;0;1;0;1;1;0;-1;-1;0;-1;-1;4,3636360168457;138,65;3914,17035942078;10;2;1;732160;30,1447288639843;5;32;4335,45756778717;4383,00902137756;1464320;0;12421,5556732178;0;0;0;0;732690,75;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1,12836098670959;-1;605,018133735657;1048576;
 ;2097152;625;0;1;0;1;1;0;-1;-1;0;-1;-1;6,96799993515015;153,805555555556;4674,3370235761;10;2;1;1280000;36,0674036761953;5;32;2693,82999139362;2713,62187221315;2560000;0;14468,7913125356;0;0;0;0;1280595,375;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;2,05584502220154;-1;1071,71710113684;2097152;
 ;4194304;417;0;1;0;1;1;0;-1;-1;0;-1;-1;12,2134294509888;148,6;4621,29878387451;10;2;1;1708032;38,817439353466;5;32;1476,56695766449;1473,81384086609;3416064;0;14323,0641387939;0;0;0;0;1708486,625;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;3,74729108810425;-1;1814,91561641693;4194304;
 ;8388608;228;0;1;0;1;1;0;-1;-1;0;-1;-1;22,6973686218262;150,218181818182;4957,48078807484;10;2;1;1867776;39,9568324847655;5;32;777,250974186984;761,379643145475;3735552;0;14680,1094094016;0;0;0;0;1868095,875;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;7,41361808776855;-1;3409,55744642778;8388608;
 ;16777216;120;0;1;0;1;1;0;-1;-1;0;-1;-1;43,5083312988281;152,427272727273;5199,30832089511;10;2;1;1966080;40,741372059963;5;32;414,041873028062;389,832441824133;3932160;0;14501,0119212757;0;0;0;0;1966472;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;14,8903112411499;-1;6631,85628079501;16777216;
 ;33554432;59;0;1;0;1;1;0;-1;-1;0;-1;-1;89,3220367431641;146,936363636364;4961,15713077892;10;2;1;1933312;40,017822809111;5;32;218,172283536738;191,390482957797;3866624;0;13343,639465124;0;0;0;0;1933671,25;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;29,9405994415283;-1;13124,6552716342;33554432;
