 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;2500;0;1;0;2;1;0;-1;-1;0;-1;-1;1,85640001296997;88,215;1240,41608968735;10;2;1;160000;27,8042218391597;5;32;118,482540235519;103,744636209011;320000;0;318,859999033213;0;0;0;0;160000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0699290037155151;-1;163,762327144146;65536;
 ;131072;1250;0;1;0;2;1;0;-1;-1;0;-1;-1;1,30799996852875;107,2;1320,50553131103;10;2;1;160000;24,738329076767;5;32;1045,80062408447;1070,03608703613;320000;0;4960,56975097656;0;0;0;0;160000,375;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0679719969630241;-1;140,217596626282;131072;
 ;262144;1000;0;1;0;2;1;0;-1;-1;0;-1;-1;1,66799998283386;124,4875;2382,06644146442;10;2;1;256000;22,1337531788275;5;32;2204,28553233147;2220,86889104843;512000;0;9184,61161689758;0;0;0;0;256178,125;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,224644005298615;-1;207,64514786303;262144;
 ;524288;1000;0;1;0;2;1;0;-1;-1;0;-1;-1;2,31399989128113;129,6;3198,84073791504;10;2;1;512000;21,6656205654144;5;32;2748,83046569824;2781,48433227539;1024000;0;11288,4317138672;0;0;0;0;512444,25;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,543762028217316;-1;299,894385910034;524288;
 ;1048576;715;0;1;0;2;1;0;-1;-1;0;-1;-1;3,46992993354797;140,22;4264,18779727936;10;2;1;732160;31,6531228923798;5;32;1946,00408666611;1955,29511123657;1464320;0;12877,1677592468;0;0;0;0;732767,875;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,989800989627838;-1;486,553575282097;1048576;
 ;2097152;455;0;1;0;2;1;0;-1;-1;0;-1;-1;5,46373605728149;144,06;4502,72624565125;10;2;1;931840;41,1880501163006;5;32;1253,52557905197;1243,30582271576;1863680;0;13636,2244377136;0;0;0;0;932309,5;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1,65740895271301;-1;787,105816411972;2097152;
 ;4194304;239;0;1;0;2;1;0;-1;-1;0;-1;-1;9,16318035125732;139,65;4676,4221912384;10;2;1;978944;44,6645384028554;5;32;697,347301769257;672,755500602722;1957888;0;13531,092218399;0;0;0;0;979198,875;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;2,98510003089905;-1;1279,63813605309;4194304;
 ;8388608;136;0;1;0;2;1;0;-1;-1;0;-1;-1;16,7867641448975;152,41;5141,46655891418;10;2;1;1114112;52,849387999773;5;32;432,62552690506;400,190712733269;2228224;0;14817,0852687836;0;0;0;0;1114306,25;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;5,7467188835144;-1;2558,47072332382;8388608;
 ;16777216;79;0;1;0;2;1;0;-1;-1;0;-1;-1;31,5949363708496;155,8;5491,33427429199;10;2;1;1294336;55,6841643929482;5;32;250,189254069328;210,691151952744;2588672;0;14655,1514587402;0;0;0;0;1294568,125;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;11,1492357254028;-1;4922,49108657837;16777216;
 ;33554432;85;0;1;0;2;1;0;-1;-1;0;-1;-1;63,2588233947754;155,213636363636;5434,93209044717;10;2;1;2785280;54,8377556561069;5;32;145,401655629548;103,728501122106;5570560;0;14077,9225277641;0;0;0;0;2785795,75;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;22,2297115325928;-1;9818,63201118816;33554432;
