 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;834;0;1;0;0;0;0;-1;-1;0;-1;-1;4,07793807983398;91,7357142857143;1526,15398227147;10;2;1;53376;10,8797637577568;5;32;20,8398774740951;13,1871918289789;106752;0;0;0;0;0;0;53376;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0251150000840425;-1;374,092562566485;65536;
 ;131072;625;0;1;0;0;0;0;-1;-1;0;-1;-1;3,04959988594055;108,79;959,845968751907;10;2;1;80000;17,603092212826;5;32;47,685702894032;35,0078593787551;160000;0;3,51391690727323;0;0;0;0;80000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,00918599963188171;-1;331,765971591473;131072;
 ;262144;625;0;1;0;0;0;0;-1;-1;0;-1;-1;3,74079990386963;89,3416666666667;1107,37508873145;10;2;1;160000;33,9675231496493;5;32;146,669085586071;121,375117006898;320000;0;0,295006183096363;0;0;0;0;160000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0135519998148084;-1;334,209298078219;262144;
 ;524288;556;0;1;0;0;0;0;-1;-1;0;-1;-1;4,46582698822021;116,35;768,986134529114;10;2;1;284672;73,9134286522865;5;32;527,38431251049;473,871186232567;569344;0;0,117513500840869;0;0;0;0;284672;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0221989993005991;-1;519,598970079422;524288;
 ;1048576;455;0;1;0;0;0;0;-1;-1;0;-1;-1;5,89890098571777;128,783333333333;636,733754928907;10;2;1;465920;151,280372067293;5;32;1219,90452677409;1130,62785278956;931840;0;0,058338848198279;0;0;0;0;465920;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0380939990282059;-1;759,680131944021;1048576;
 ;2097152;250;0;1;0;0;0;0;-1;-1;0;-1;-1;8,79599952697754;121,46;444,53023168087;10;2;1;512000;257,503468179703;5;32;2115,14284290314;2016,1799830246;1024000;0;0,133363077426329;0;0;0;0;512000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0699599981307983;-1;1068,36210254669;2097152;
 ;4194304;179;0;1;0;0;0;0;-1;-1;0;-1;-1;14,5139656066895;133,43;308,13870374918;10;2;1;733184;398,293212394714;5;32;4043,31802492142;4065,70235500336;1466368;0;0,0252182697998069;0;0;0;0;733184;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,120963998138905;-1;1936,59843090057;4194304;
 ;8388608;162;0;1;0;0;0;0;-1;-1;0;-1;-1;25,8148155212402;142,2125;243,870402820408;10;2;1;1327104;638,135221064091;5;32;6031,41709499359;6383,62012200355;2654208;0;0,0265937371903419;0;0;0;0;1327104;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,238325998187065;-1;3671,18945231438;8388608;
 ;16777216;90;0;1;0;0;0;0;-1;-1;0;-1;-1;48,6666679382324;142,272222222222;198,153626667791;10;2;1;1474560;836,061307687229;5;32;7760,95015640259;8357,80053787231;2949120;0;0;0;0;0;0;1474560;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,472701013088226;-1;6923,9149957233;16777216;
 ;33554432;46;0;1;0;0;0;0;-1;-1;0;-1;-1;96,4130401611328;145,7375;193,045349130034;10;2;1;1507328;912,492670279741;5;32;8135,05608663559;9072,80260272026;3014656;0;0;0;0;0;0;1507328;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,944696009159088;-1;14050,9954404831;33554432;
