 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2
 ;65536;148,8270833;2,036750078;303,1235736;0;0;7,948315144;7936;1,906581044;8,140879631;6,656005859;15872;7936
 ;131072;149,3;2,269737959;338,8718773;0;0;10,22235107;19840;2,842293024;16,22492218;13,97696686;39680;19840
 ;262144;152,3964286;2,897396088;441,5528159;0;0;12,69177818;28672;3,622699976;23,72501564;20,85814857;57344;28672
 ;524288;153,6962963;3,868963003;594,6452841;0;0;16,60940933;25600;4,14793396;27,72373199;24,43993759;51200;25600
 ;1048576;152,5907407;5,39412117;823,092945;0;0;22,09853172;41984;4,479706764;29,24422073;25,67737961;83968;41984
 ;2097152;153,8648148;8,610364914;1324,832203;0;0;22,02570724;45056;4,628183842;31,25163078;27,56263733;90112;45056
 ;4194304;152,6981481;14,30529594;2184,392199;0;0;30,31725311;73728;3,378540039;46,82181931;44,13728333;147456;73728
 ;8388608;154,0462963;25,98873138;4003,467815;0;0;41,93917847;16384;4,275620937;65,4232254;62,02711105;32768;16384
 ;16777216;151,7519231;49,94444275;7579,165234;0;0;36,48900223;32768;4,345161915;65,61058807;62,15427017;65536;32768
 ;33554432;153,0365385;96,55435181;14776,34377;0;0;41,41973114;98304;3,330595016;41,23329926;38,57810211;196608;98304
 ;67108864;151,8275862;257,8421021;39147,54398;0;0;39,57154846;131072;3,520857096;52,39751434;49,58739853;262144;131072
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0,999813459;0,212190783;0,999968368;1;#DIV/0!;#DIV/0!;0,815215845;0,094039463;0,408376693;0,88214746;0,886113176;0,094039463;0,094039463
