 ;vector_size;samples;use_float_4;n_thread_host;n_device;d0_size;d0_mode_in;d0_mode_out;d1_size;d1_mode_in;d1_mode_out;d2_size;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;J;
 ;65536;4000;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;2,03675007820129;148,827083333333;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7,94831514358521;10;0,79032301902771;0,395161002874374;7936;1,90658104419708;12,6530609130859;32;8,14087963104248;6,656005859375;15872;0;5,3802170753479;0;0;0;0;7936;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;303,123573617637;
 ;131072;4167;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;2,26973795890808;149,3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10,2223510742188;10;3,01935505867004;1,50967705249786;19840;2,84229302406311;3,31196594238281;32;16,2249221801758;13,9769668579102;39680;0;1,94275903701782;0;0;0;0;19840;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;338,871877264976;
 ;262144;3226;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;2,89739608764648;152,396428571429;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12,6917781829834;10;0,5;0,25;28672;3,62269997596741;20;32;23,7250156402588;20,8581485748291;57344;0;1,12509703636169;0;0;0;0;28672;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;441,552815914154;
 ;524288;2381;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;3,86896300315857;153,696296296296;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16,6094093322754;10;4,6399998664856;2,3199999332428;25600;4,14793395996094;2,15517210960388;32;27,7237319946289;24,4399375915527;51200;0;1,22827899456024;0;0;0;0;25600;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;594,645284092868;
 ;1048576;1667;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;5,39412117004395;152,590740740741;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22,0985317230225;10;2,09756088256836;1,04877996444702;41984;4,47970676422119;4,76744222640991;32;29,2442207336426;25,6773796081543;83968;0;1,53531098365784;0;0;0;0;41984;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;823,092944982317;
 ;2097152;1042;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;8,61036491394043;153,864814814815;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22,025707244873;10;1,81818199157715;0,909090995788574;45056;4,62818384170532;5,5;32;31,2516307830811;27,5626373291016;90112;0;1,75742304325104;0;0;0;0;45056;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1324,83220297142;
 ;4194304;642;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;14,3052959442139;152,698148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30,317253112793;10;0,666666984558105;0,333332985639572;73728;3,3785400390625;15;32;46,8218193054199;44,1372833251953;147456;0;0,309451997280121;0;0;0;0;73728;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2184,39219939267;
 ;8388608;355;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;25,9887313842773;154,046296296296;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41,9391784667969;10;14;7;16384;4,27562093734741;0,714286029338837;32;65,423225402832;62,0271110534668;32768;0;0,10810399800539;0;0;0;0;16384;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003,46781518724;
 ;16777216;180;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;49,9444427490234;151,751923076923;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36,4890022277832;10;2;1;32768;4,34516191482544;5;32;65,6105880737305;62,1542701721191;65536;0;0,0830430015921593;0;0;0;0;32768;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7579,16523416959;
 ;33554432;92;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;96,5543518066406;153,036538461538;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41,4197311401367;10;2,66666698455811;1,33333301544189;98304;3,33059501647949;3,75;32;41,2332992553711;38,5781021118164;196608;0;0,318269997835159;0;0;0;0;98304;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14776,3437738859;
 ;67108864;38;1;4;1;1;0;0;-1;-1;-1;-1;-1;-1;257,842102050781;151,827586206897;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39,5715484619141;10;2;1;131072;3,52085709571838;5;32;52,3975143432617;49,5873985290527;262144;0;0,118354000151157;0;0;0;0;131072;0;100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39147,5439768824;
