 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;;J/size
 ;65536;145,0537037;1,14428699;165,983066;1;2;7,134513855;13184;4,693778038;24,98863411;22,11556435;26368;13184;;0,002532701
 ;131072;142,8333333;1,271595001;181,6261527;1;2;9,763553619;19200;6,767650127;43,75823975;38,77065659;38400;19200;;0,001385698
 ;262144;146,6211538;1,418879986;208,0378207;1;2;12,65895271;64256;8,493091583;63,07421112;56,53868103;128512;64256;;0,000793601
 ;524288;146,6576923;1,759799957;258,0882007;1;2;19,23529243;89088;10,10508156;77,97052002;70,01980591;178176;89088;;0,000492264
 ;1048576;149,8604167;2,293708086;343,7360495;1;2;23,58361435;73728;10,99925613;86,96133423;78,31127167;147456;73728;;0,000327812
 ;2097152;146,8891304;3,598436117;528,5711522;1;2;28,73445702;59392;11,59553528;92,62005615;83,56643677;118784;59392;;0,000252042
 ;4194304;147,25;6,100316048;898,271538;1;2;36,37260056;24576;11,7234993;94,87056732;85,78997803;49152;24576;;0,000214165
 ;8388608;147,5354167;11,06805611;1632,930269;1;2;42,58658981;155648;8,633713722;97,51712799;90,83621979;311296;155648;;0,00019466
 ;16777216;147,3295455;20,78108025;3061,667107;1;2;50,18704987;327680;7,191895962;98,10666656;92,55519867;655360;327680;;0,00018249
 ;33554432;149,2354167;40,5;6044,034375;1;2;55,82456589;393216;6,418063164;98,29883575;93,40023041;786432;393216;;0,000180126
 ;67108864;153,3086207;134,6301422;20639,96141;1;2;43,41907883;131072;6,156785011;98,03556061;93,31942749;262144;131072;;0,000307559
