 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;1250;0;1;0;1;1;0;-1;-1;0;-1;-1;1,78799998760223;98,4083333333333;1721,23793327014;10;2;1;80000;91,2226525147756;5;32;2772,70802310308;2707,51978499095;160000;0;0,0111201418511579;0;0;0;0;80000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0796189978718758;-1;175,954098779957;65536;
 ;131072;1250;0;1;0;1;1;0;-1;-1;0;-1;-1;1,81200003623962;98,1785714285714;2180,53998919896;10;2;1;160000;135,310192316771;5;32;4618,90733964103;4518,53669370924;320000;0;0,713169132841618;0;0;0;0;160000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,147266000509262;-1;177,899574986526;131072;
 ;262144;1250;0;1;0;1;1;0;-1;-1;0;-1;-1;2,06480002403259;99,95;2633,92465028763;10;2;1;320000;192,364568817616;5;32;6299,17770824433;6149,62064247131;640000;0;12,8003966078162;0;0;0;0;320000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,247750997543335;-1;206,376762402058;262144;
 ;524288;1250;0;1;0;1;1;0;-1;-1;0;-1;-1;2,93680000305176;101,154545454545;3473,08681734258;10;2;1;640000;238,863703641025;5;32;7706,66022470648;7518,04348567616;1280000;0;14,6543597979979;0;0;0;0;640000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,492646992206573;-1;297,070669399608;524288;
 ;1048576;834;0;1;0;1;1;0;-1;-1;0;-1;-1;4,27817678451538;102,977272727273;4034,2221809734;10;2;1;854016;317,174730620601;5;32;8656,74697182395;8404,72480427135;1708032;0;47,8848434273492;0;0;0;0;854016;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,832670986652374;-1;440,554977514527;1048576;
 ;2097152;625;0;1;0;1;1;0;-1;-1;0;-1;-1;6,65119981765747;99,8083333333334;4821,09346481959;10;2;1;1280000;277,74693527619;5;32;8416,01073004405;8196,90405565898;2560000;0;1701,6168337663;0;0;0;0;1280000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1,4945319890976;-1;663,845168467363;2097152;
 ;4194304;417;0;1;0;1;1;0;-1;-1;0;-1;-1;10,9568347930908;106,871428571429;5778,92622364589;10;2;1;1708032;305,615404748917;5;32;10043,9305043902;9799,9066481454;3416064;0;467,282728127071;0;0;0;0;1708032;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;2,38772797584534;-1;1170,97258695875;4194304;
 ;8388608;250;0;1;0;1;1;0;-1;-1;0;-1;-1;19,9599990844727;107,064285714286;6256,46219095503;10;2;1;2048000;297,798989697865;5;32;10247,8218990326;10009,6612051828;4096000;0;94,9747986342226;0;0;0;0;2048000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;4,46817493438721;-1;2137,00304483686;8388608;
 ;16777216;139;0;1;0;1;1;0;-1;-1;0;-1;-1;36,8129501342773;111,55;6738,53803730011;10;2;1;2277376;314,426206147671;5;32;10995,6749542236;10744,2261802673;4554752;0;32,4010346785188;0;0;0;0;2277376;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;8,29273700714111;-1;4106,48458747864;16777216;
 ;33554432;75;0;1;0;1;1;0;-1;-1;0;-1;-1;71,1466674804688;113,196875;7057,48298857212;10;2;1;2457600;315,430673291534;5;32;11202,5300470829;10950,4193129539;4915200;0;25,8045862630475;0;0;0;0;2457600;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;16,2511386871338;-1;8053,58042545318;33554432;
