 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;1667;0;1;0;2;1;0;-1;-1;0;-1;-1;1,51829600334167;99,08125;1946,36767134666;10;2;1;106688;111,079393739998;5;32;1821,59463024139;1736,53399093151;213376;0;2409,31504535675;0;0;0;0;106688;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0596119984984398;-1;150,434665881097;65536;
 ;131072;1667;0;1;0;2;1;0;-1;-1;0;-1;-1;1,61787605285645;95,1611111111111;2198,04183110131;10;2;1;213376;150,865191092756;5;32;3396,41245822907;3284,6200059255;426752;0;4224,0905828264;0;0;0;0;213376;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,122215002775192;-1;153,958882829878;131072;
 ;262144;1250;0;1;0;2;1;0;-1;-1;0;-1;-1;1,86960005760193;93,41875;2485,1850333333;10;2;1;320000;190,073621483147;5;32;4729,56262643337;4581,37781846523;640000;0;5795,45415692329;0;0;0;0;320000;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,255248993635178;-1;174,6557003811;262144;
 ;524288;1000;0;1;0;2;1;0;-1;-1;0;-1;-1;2,34400010108948;96,59375;2765,80913585424;10;2;1;512000;227,786213807762;5;32;3290,19549977779;3111,90474402905;1024000;0;4123,78050470352;0;0;0;0;512001,25;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,408252000808716;-1;226,415759764612;524288;
 ;1048576;834;0;1;0;2;1;0;-1;-1;0;-1;-1;3,45083904266357;97,2611111111111;4227,55327207777;10;2;1;854016;185,847990079721;5;32;997,716479587555;850,252330223719;1708032;0;1285,48341032134;0;0;0;0;854016;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,788416028022766;-1;335,632439555062;1048576;
 ;2097152;455;0;1;0;2;1;0;-1;-1;0;-1;-1;4,69230794906616;103,75;3764,90830898285;10;2;1;931840;295,828385949135;5;32;1052,47611999512;817,191143035889;1863680;0;1186,29798293114;0;0;0;0;931840;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,906379997730255;-1;486,826949715614;2097152;
 ;4194304;278;0;1;0;2;1;0;-1;-1;0;-1;-1;7,90647506713867;104,035714285714;3537,38255637033;10;2;1;1138688;315,966354949134;5;32;688,82054405553;437,009113005229;2277376;0;634,177277735301;0;0;0;0;1138688;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1,7678040266037;-1;822,555781091963;4194304;
 ;8388608;152;0;1;0;2;1;0;-1;-1;0;-1;-1;14,3684206008911;106,414285714286;3448,24316564287;10;2;1;1245184;335,157007946287;5;32;494,105593810763;226,427580080714;2490368;0;342,480109231813;0;0;0;0;1245184;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;3,4385449886322;-1;1529,00521508626;8388608;
 ;16777216;82;0;1;0;2;1;0;-1;-1;0;-1;-1;27,2195129394531;106,021428571429;3383,69704298292;10;2;1;1343488;339,415312245914;5;32;501,116453487533;230,055992657798;2686976;0;337,441722568444;0;0;0;0;1343488;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;6,86984586715698;-1;2885,85164685931;16777216;
 ;33554432;99;0;1;0;2;1;0;-1;-1;0;-1;-1;53,9595947265625;111,85;3637,21015529633;10;2;1;3244032;347,692658877373;5;32;507,834463000298;230,007333433628;6488064;0;327,792188680172;0;0;0;0;3244032;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;14,8451766967773;-1;6035,38067016602;33554432;
