 ;vector_size;samples;n_thread_host;n_device;d0_name;d0_mode_in;d0_mode_out;d1_name;d1_mode_in;d1_mode_out;d2_name;d2_mode_in;d2_mode_out;completionTime;extechWatt;gpuBusy_1;aluInsts_1;fetchInsts_1;wrInsts_1;waveFronts_1;AluBusy_1;aluFetchRatio_1;aluPacking_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fetchSize_1;cacheHit_1;writeUnitStalled_1;ldsFetchInst_1;aluStalledByLds_1;ldsBankConfl_1;fastPath_1;completePath_1;pathUtil_1;gpuBusy_2;aluInsts_2;fetchInsts_2;wrInsts_2;waveFronts_2;AluBusy_2;aluFetchRatio_2;aluPacking_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fetchSize_2;cacheHit_2;writeUnitStalled_2;ldsFetchInst_2;aluStalledByLds_2;ldsBankConfl_2;fastPath_2;completePath_2;pathUtil_2;gpuBusy_3;aluInsts_3;fetchInsts_3;wrInsts_3;waveFronts_3;AluBusy_3;aluFetchRatio_3;aluPacking_3;aluPacking_3;fetchUnitBusy_3;fetchUnitStalled_3;fetchSize_3;cacheHit_3;writeUnitStalled_3;ldsFetchInst_3;aluStalledByLds_3;ldsBankConfl_3;fastPath_3;completePath_3;pathUtil_3;GPUTime_1;GPUTime_2;GPUTime_3;J;
 ;65536;834;0;1;0;0;0;0;-1;-1;0;-1;-1;3,88729000091553;95,86;1598,21109859467;10;2;1;53376;45,6491076028347;5;32;218,811080226898;183,007862610817;106752;0;191,01801466465;0;0;0;0;53378,3125;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0225089993327856;-1;372,635619487762;65536;
 ;131072;715;0;1;0;0;0;0;-1;-1;0;-1;-1;4,01957988739014;96,6555555555556;1803,15204145643;10;2;1;91520;72,4817114512126;5;32;486,773625426822;430,562607500288;183040;0;509,575908157561;0;0;0;0;91554,375;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0450589992105961;-1;388,514727115631;131072;
 ;262144;834;0;1;0;0;0;0;-1;-1;0;-1;-1;5,08033609390259;90,0923076923077;1502,86327092097;10;2;1;213504;129,981942162147;5;32;767,595782001202;664,361475783128;427008;0;68,1255491109995;0;0;0;0;213504;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,0572389997541904;-1;457,699202552208;262144;
 ;524288;715;0;1;0;0;0;0;-1;-1;0;-1;-1;6,02937078475952;89,8346153846154;1400,59937293346;10;2;1;366080;234,842234969139;5;32;1535,05186899625;1348,478510963;732160;0;59,4252372652292;0;0;0;0;366080;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,11039300262928;-1;541,646205460108;524288;
 ;1048576;556;0;1;0;0;0;0;-1;-1;0;-1;-1;7,10251808166504;98,375;1442,15722036362;10;2;1;569344;444,607010364532;5;32;2841,35587382317;2487,44769835472;1138688;0;164,892730370164;0;0;0;0;569344;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,202182993292809;-1;698,710216283798;1048576;
 ;2097152;417;0;1;0;0;0;0;-1;-1;0;-1;-1;10,1942453384399;101,315384615385;1351,0018157152;10;2;1;854016;694,084242380582;5;32;4509,80731879014;3957,22910505441;1708032;0;195,548518269796;0;0;0;0;854016;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,39453199505806;-1;1032,83388732763;2097152;
 ;4194304;278;0;1;0;0;0;0;-1;-1;0;-1;-1;13,9604320526123;105,436363636364;1813,45063362122;10;2;1;1138688;585,665045616843;5;32;7942,35495175448;7475,32974659313;2277376;0;51,5002871486274;0;0;0;0;1138688;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;0,750675022602081;-1;1471,93719041998;4194304;
 ;8388608;173;0;1;0;0;0;0;-1;-1;0;-1;-1;24,4624271392822;107,616666666667;1973,93456125259;10;2;1;1417216;623,814450192452;5;32;9329,8810731252;8831,40272903442;2834432;0;11,4809763913353;0;0;0;0;1417216;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1,65018796920776;-1;2632,56486730576;8388608;
 ;16777216;99;0;1;0;0;0;0;-1;-1;0;-1;-1;46,1616172790527;107,617857142857;1987,68245264462;10;2;1;1622016;668,012547278404;5;32;9899,74263796125;9366,02467084612;3244032;0;10,5429984832449;0;0;0;0;1622016;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;3,41631698608398;-1;4967,81433382034;16777216;
 ;33554432;53;0;1;0;0;0;0;-1;-1;0;-1;-1;88,301887512207;109,657142857143;1901,33440093994;10;2;1;1736704;761,390885571071;5;32;10127,5062696184;9521,47302507673;3473408;0;124,020468432563;0;0;0;0;1736704;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;6,02743721008301;-1;9682,93269348145;33554432;
 ;67108864;27;0;1;0;0;0;0;-1;-1;0;-1;-1;182,851852416992;110,086666666667;1807,30181537628;10;2;1;1769472;734,011985953649;5;32;10249,737894694;9663,15129776001;3538944;0;19,8685518776377;0;0;0;0;1769472;0;100;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;13,3708734512329;-1;20129,5509264119;67108864;
