 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;0,489504384102649;0,981959981823978;0,980256049466949;Non un numero reale;Non un numero reale;0,47923516663359;0,539530892320892;0,434275843435909;0,41900570965172;0,484562440160507;0,539530892320892;0,533556467108207;
extechWatt;0,489504384102649;1;0,512618169466748;0,517481996664806;Non un numero reale;Non un numero reale;-0,150270830013187;0,239328122251786;-0,313942662184823;-0,180948063386422;-0,139963035237846;0,239328122251786;0,222412772091341;
completionTime;0,981959981823978;0,512618169466748;1;0,999939328380734;Non un numero reale;Non un numero reale;0,351195355210218;0,450013922158406;0,369895604205482;0,353142968281349;0,415687227375227;0,450013922158406;0,444895281955078;
J;0,980256049466949;0,517481996664806;0,999939328380734;1;Non un numero reale;Non un numero reale;0,342074721347633;0,446010315334677;0,36409910279558;0,347501828465611;0,409892819019877;0,446010315334677;0,440977167371031;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_1;0,47923516663359;-0,150270830013187;0,351195355210218;0,342074721347633;Non un numero reale;Non un numero reale;1;0,634111608302565;0,782987490377881;0,814731025881032;0,838727537121106;0,634111608302565;0,616060290318529;
waveFronts_1;0,539530892320892;0,239328122251786;0,450013922158406;0,446010315334677;Non un numero reale;Non un numero reale;0,634111608302565;1;0,733216630793824;0,742093112288809;0,759315284108728;1;0,990754691760001;
AluBusy_1;0,434275843435909;-0,313942662184823;0,369895604205482;0,36409910279558;Non un numero reale;Non un numero reale;0,782987490377881;0,733216630793824;1;0,934197434450604;0,936598718908733;0,733216630793823;0,729217115705689;
aluPacking_1;0,41900570965172;-0,180948063386422;0,353142968281349;0,347501828465611;Non un numero reale;Non un numero reale;0,814731025881032;0,742093112288809;0,934197434450604;1;0,996879087394405;0,742093112288809;0,714422388235927;
fetchUnitBusy_1;0,484562440160507;-0,139963035237846;0,415687227375227;0,409892819019877;Non un numero reale;Non un numero reale;0,838727537121106;0,759315284108728;0,936598718908733;0,996879087394405;1;0,759315284108729;0,732171146915841;
fetchUnitStalled_1;0,539530892320892;0,239328122251786;0,450013922158406;0,446010315334677;Non un numero reale;Non un numero reale;0,634111608302565;1;0,733216630793823;0,742093112288809;0,759315284108729;1;0,990754691760001;
fastPath_1;0,533556467108207;0,222412772091341;0,444895281955078;0,440977167371031;Non un numero reale;Non un numero reale;0,616060290318529;0,990754691760001;0,729217115705689;0,714422388235927;0,732171146915841;0,990754691760001;1;
