 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;0,322415500664969;0,711027728805957;0,702440179914121;0;0;0,24774461981444;0,475887479273863;0,321432316412986;0,210542218884772;0,216372073212901;0,475887479273863;0,467166496291887;
extechWatt;0,322415500664969;1;0,361666354248294;0,362452570004694;-0,605861674666291;-0,688299214626669;-0,203833880649634;0,172720451008039;0,283547247316985;-0,247426869228497;-0,238640195931905;0,172720451008039;0,166522457763526;
completionTime;0,711027728805957;0,361666354248294;1;0,99992169197371;-0,192172745647754;-0,202186961078583;-0,0250697371822255;0,139579805557355;0,345639074484418;-0,0148638690970623;-0,0216879116847944;0,139579805557355;0,133944473264234;
J;0,702440179914121;0,362452570004694;0,99992169197371;1;-0,195646678493254;-0,205866743065949;-0,0300615678618522;0,133499426239024;0,344524779759138;-0,0192340276922315;-0,0261940530159255;0,133499426239024;0,127953221445926;
d0_mode_in;0;-0,605861674666291;-0,192172745647754;-0,195646678493254;1;0,852802865422442;0,0165981278064687;0,196054843778739;-0,000560317125769028;-0,000238737585176296;-0,000169178385591072;0,196054843778739;0,195948435930137;
d0_mode_out;0;-0,688299214626669;-0,202186961078583;-0,205866743065949;0,852802865422442;1;0,232393056271541;0,209519036876692;-0,22729872114782;0,229938858035621;0,234310772076493;0,209519036876692;0,210062501310695;
gpuBusy_1;0,24774461981444;-0,203833880649634;-0,0250697371822255;-0,0300615678618522;0,0165981278064687;0,232393056271541;1;0,390614396544196;-0,504303273823456;0,903209916344472;0,914340387857243;0,390614396544196;0,380315689528047;
waveFronts_1;0,475887479273863;0,172720451008039;0,139579805557355;0,133499426239024;0,196054843778739;0,209519036876692;0,390614396544196;1;0,237157875454327;0,432709676690767;0,416819303409841;1;0,988104045532943;
AluBusy_1;0,321432316412986;0,283547247316985;0,345639074484418;0,344524779759138;-0,000560317125769028;-0,22729872114782;-0,504303273823456;0,237157875454327;1;-0,531507851432902;-0,567755442715647;0,237157875454327;0,226789862823976;
aluPacking_1;0,210542218884772;-0,247426869228497;-0,0148638690970623;-0,0192340276922315;-0,000238737585176296;0,229938858035621;0,903209916344472;0,432709676690767;-0,531507851432902;1;0,997836818560915;0,432709676690767;0,417562496317807;
fetchUnitBusy_1;0,216372073212901;-0,238640195931905;-0,0216879116847944;-0,0261940530159255;-0,000169178385591072;0,234310772076493;0,914340387857243;0,416819303409841;-0,567755442715647;0,997836818560915;1;0,416819303409841;0,402819469562225;
fetchUnitStalled_1;0,475887479273863;0,172720451008039;0,139579805557355;0,133499426239024;0,196054843778739;0,209519036876692;0,390614396544196;1;0,237157875454327;0,432709676690767;0,416819303409841;1;0,988104045532943;
fastPath_1;0,467166496291887;0,166522457763526;0,133944473264234;0,127953221445926;0,195948435930137;0,210062501310695;0,380315689528047;0,988104045532943;0,226789862823976;0,417562496317807;0,402819469562225;0,988104045532943;1;
