 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,689362467554622;0,950438950232566;0,950108476108543;Non un numero reale;Non un numero reale;-0,341134329336977;0,0714757964898188;0,491156595838413;-0,318004953004819;-0,482690535510753;0,0714757964898188;0,0842882585440505;
extechWatt;0,689362467554622;1;0,562300931728691;0,561614749663435;Non un numero reale;Non un numero reale;0,242183407641265;0,360440099292679;0,935634983816798;-0,318397318462835;-0,69485812521713;0,360440099292679;0,392805240877234;
completionTime;0,950438950232566;0,562300931728691;1;0,999998824042127;Non un numero reale;Non un numero reale;-0,319310520347721;0,0402921991852629;0,366662706577544;-0,241998616245826;-0,364267132613517;0,0402921991852629;0,0504371051080445;
J;0,950108476108543;0,561614749663435;0,999998824042127;1;Non un numero reale;Non un numero reale;-0,319938134759687;0,0393594023081496;0,365840576588025;-0,241481448729801;-0,363466308434987;0,0393594023081496;0,0495064048394274;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_2;-0,341134329336977;0,242183407641265;-0,319310520347721;-0,319938134759687;Non un numero reale;Non un numero reale;1;0,706598003280637;0,481310465084682;0,0138788917854328;-0,21942074094047;0,706598003280637;0,717008422968865;
waveFronts_2;0,0714757964898188;0,360440099292679;0,0402921991852629;0,0393594023081496;Non un numero reale;Non un numero reale;0,706598003280637;1;0,48341131899795;-0,124041926128125;-0,328819362472415;1;0,997441632424834;
AluBusy_2;0,491156595838413;0,935634983816798;0,366662706577544;0,365840576588025;Non un numero reale;Non un numero reale;0,481310465084682;0,48341131899795;1;-0,160805641828532;-0,598726601960455;0,48341131899795;0,522359680321466;
aluPacking_2;-0,318004953004819;-0,318397318462835;-0,241998616245826;-0,241481448729801;Non un numero reale;Non un numero reale;0,0138788917854328;-0,124041926128125;-0,160805641828532;1;0,886747107953973;-0,124041926128125;-0,0767773741775527;
fetchUnitBusy_2;-0,482690535510753;-0,69485812521713;-0,364267132613517;-0,363466308434987;Non un numero reale;Non un numero reale;-0,21942074094047;-0,328819362472415;-0,598726601960455;0,886747107953973;1;-0,328819362472415;-0,308631985169489;
fetchUnitStalled_2;0,0714757964898188;0,360440099292679;0,0402921991852629;0,0393594023081496;Non un numero reale;Non un numero reale;0,706598003280637;1;0,48341131899795;-0,124041926128125;-0,328819362472415;1;0,997441632424834;
fastPath_2;0,0842882585440505;0,392805240877234;0,0504371051080445;0,0495064048394274;Non un numero reale;Non un numero reale;0,717008422968865;0,997441632424834;0,522359680321466;-0,0767773741775527;-0,308631985169489;0,997441632424834;1;
