 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,608640008089512;0,742989830873394;0,740600977534519;0;0;-0,0631573095903831;-0,0130688772090848;0,488124954050124;-0,272372972017136;-0,442319313907817;-0,0130688772090848;-0,0103284230595171;
extechWatt;0,608640008089512;1;0,535133171464134;0,535781160391916;-0,485704413284295;-0,509419623632459;-0,276519890725837;-0,227691578501391;0,282239347281844;-0,174183847649716;-0,26803953287041;-0,227691578501391;-0,225479673392805;
completionTime;0,742989830873394;0,535133171464134;1;0,999976451351563;-0,201223957183502;-0,219013216373379;-0,167318578558228;-0,0850557070666266;0,285263151095036;-0,164375111964456;-0,261904537221919;-0,0850557070666266;-0,0831691474639332;
J;0,740600977534519;0,535781160391916;0,999976451351563;1;-0,203241891093938;-0,220767000553698;-0,169083526273466;-0,0869942768024829;0,282537784844936;-0,162710414654626;-0,25930244779192;-0,0869942768024829;-0,0851184805366895;
d0_mode_in;0;-0,485704413284295;-0,201223957183502;-0,203241891093938;1;0,852802865422442;0,193421646110489;0,141820827903232;0,00669353773985728;-0,0155541382232825;-0,0162774835378221;0,141820827903232;0,144288435275297;
d0_mode_out;0;-0,509419623632459;-0,219013216373379;-0,220767000553698;0,852802865422442;1;0,292464119313176;0,13638698140717;0,0225238797043701;-0,0402676712476888;-0,0406238418528798;0,13638698140717;0,138949337673226;
gpuBusy_2;-0,0631573095903831;-0,276519890725837;-0,167318578558228;-0,169083526273466;0,193421646110489;0,292464119313176;1;0,81894990528961;0,55884416138239;-0,237796169319035;-0,455114849638957;0,81894990528961;0,819773970527333;
waveFronts_2;-0,0130688772090848;-0,227691578501391;-0,0850557070666266;-0,0869942768024829;0,141820827903232;0,13638698140717;0,81894990528961;1;0,484480412862194;-0,216886996649394;-0,403087623177091;1;0,999844632782407;
AluBusy_2;0,488124954050124;0,282239347281844;0,285263151095036;0,282537784844936;0,00669353773985728;0,0225238797043701;0,55884416138239;0,484480412862194;1;-0,212685386657762;-0,642860510770819;0,484480412862194;0,49132782349632;
aluPacking_2;-0,272372972017136;-0,174183847649716;-0,164375111964456;-0,162710414654626;-0,0155541382232825;-0,0402676712476888;-0,237796169319035;-0,216886996649394;-0,212685386657762;1;0,885018807589025;-0,216886996649394;-0,208502527869388;
fetchUnitBusy_2;-0,442319313907817;-0,26803953287041;-0,261904537221919;-0,25930244779192;-0,0162774835378221;-0,0406238418528798;-0,455114849638957;-0,403087623177091;-0,642860510770819;0,885018807589025;1;-0,403087623177091;-0,399742813263361;
fetchUnitStalled_2;-0,0130688772090848;-0,227691578501391;-0,0850557070666266;-0,0869942768024829;0,141820827903232;0,13638698140717;0,81894990528961;1;0,484480412862194;-0,216886996649394;-0,403087623177091;1;0,999844632782407;
fastPath_2;-0,0103284230595171;-0,225479673392805;-0,0831691474639332;-0,0851184805366895;0,144288435275297;0,138949337673226;0,819773970527333;0,999844632782407;0,49132782349632;-0,208502527869388;-0,399742813263361;0,999844632782407;1;
