 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;-0,742218159573185;0,986910731579229;0,987164861008329;Non un numero reale;Non un numero reale;0,709840878159545;0,442031876200698;-0,598348486002899;-0,52994262357026;-0,504255658748165;0,442031876200698;0,442012477185995;
extechWatt;-0,742218159573185;1;-0,681499002100685;-0,682086168503524;Non un numero reale;Non un numero reale;-0,700932287355918;-0,526322375911637;0,505870885550167;0,564866310846199;0,548479965245834;-0,526322375911637;-0,526308979258452;
completionTime;0,986910731579229;-0,681499002100685;1;0,999995562067086;Non un numero reale;Non un numero reale;0,604715400779959;0,357290671799463;-0,581091033802525;-0,482060264243642;-0,455581793185313;0,357290671799463;0,357272622822048;
J;0,987164861008329;-0,682086168503524;0,999995562067086;1;Non un numero reale;Non un numero reale;0,606406719268065;0,359614457713976;-0,58005441357742;-0,482347492212336;-0,455972452496769;0,359614457713976;0,35959634864337;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_1;0,709840878159545;-0,700932287355918;0,604715400779959;0,606406719268065;Non un numero reale;Non un numero reale;1;0,850867580432827;-0,270494031620173;-0,484257296957997;-0,484386933788527;0,850867580432827;0,850859428692876;
waveFronts_1;0,442031876200698;-0,526322375911637;0,357290671799463;0,359614457713976;Non un numero reale;Non un numero reale;0,850867580432827;1;0,226793831770706;-0,321120536877944;-0,35574942300409;1;0,999999998141569;
AluBusy_1;-0,598348486002899;0,505870885550167;-0,581091033802525;-0,58005441357742;Non un numero reale;Non un numero reale;-0,270494031620173;0,226793831770706;1;0,538009077380904;0,47732020734766;0,226793831770706;0,226819697019181;
aluPacking_1;-0,52994262357026;0,564866310846199;-0,482060264243642;-0,482347492212336;Non un numero reale;Non un numero reale;-0,484257296957997;-0,321120536877944;0,538009077380904;1;0,997512662070529;-0,321120536877944;-0,321094368040322;
fetchUnitBusy_1;-0,504255658748165;0,548479965245834;-0,455581793185313;-0,455972452496769;Non un numero reale;Non un numero reale;-0,484386933788527;-0,35574942300409;0,47732020734766;0,997512662070529;1;-0,35574942300409;-0,355724280346779;
fetchUnitStalled_1;0,442031876200698;-0,526322375911637;0,357290671799463;0,359614457713976;Non un numero reale;Non un numero reale;0,850867580432827;1;0,226793831770706;-0,321120536877944;-0,35574942300409;1;0,999999998141569;
fastPath_1;0,442012477185995;-0,526308979258452;0,357272622822048;0,35959634864337;Non un numero reale;Non un numero reale;0,850859428692876;0,999999998141569;0,226819697019181;-0,321094368040322;-0,355724280346779;0,999999998141569;1;
