 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;0,348171270507329;0,982244767244447;0,980514527912384;Non un numero reale;Non un numero reale;0,318177513281134;0,447188943799896;0,579801000685266;-0,561785980740913;-0,569982977278771;0,447188943799896;0,447069604040142;
extechWatt;0,348171270507329;1;0,345721483310955;0,347739965867197;Non un numero reale;Non un numero reale;0,720226858524385;0,699214703448523;0,714842723601509;-0,299634837415957;-0,312808923542463;0,699214703448523;0,699375718926096;
completionTime;0,982244767244447;0,345721483310955;1;0,99995326291656;Non un numero reale;Non un numero reale;0,208502040885236;0,335562747128866;0,49990504920914;-0,486252881584166;-0,493275047885537;0,335562747128866;0,335467274428362;
J;0,980514527912384;0,347739965867197;0,99995326291656;1;Non un numero reale;Non un numero reale;0,204734012397881;0,331497910865512;0,497544738644926;-0,483360370543991;-0,490343316893345;0,331497910865512;0,331403533523447;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_1;0,318177513281134;0,720226858524385;0,208502040885236;0,204734012397881;Non un numero reale;Non un numero reale;1;0,987038530809586;0,885485269112521;-0,459202981370826;-0,476215627598949;0,987038530809586;0,987082614720203;
waveFronts_1;0,447188943799896;0,699214703448523;0,335562747128866;0,331497910865512;Non un numero reale;Non un numero reale;0,987038530809586;1;0,927783992791475;-0,542331531663265;-0,559389818352199;1;0,999999902649912;
AluBusy_1;0,579801000685266;0,714842723601509;0,49990504920914;0,497544738644926;Non un numero reale;Non un numero reale;0,885485269112521;0,927783992791475;1;-0,749103413148835;-0,76283886285089;0,927783992791475;0,927688293451987;
aluPacking_1;-0,561785980740913;-0,299634837415957;-0,486252881584166;-0,483360370543991;Non un numero reale;Non un numero reale;-0,459202981370826;-0,542331531663265;-0,749103413148835;1;0,99974250445584;-0,542331531663265;-0,542042973354172;
fetchUnitBusy_1;-0,569982977278771;-0,312808923542463;-0,493275047885537;-0,490343316893345;Non un numero reale;Non un numero reale;-0,476215627598949;-0,559389818352199;-0,76283886285089;0,99974250445584;1;-0,559389818352199;-0,559103822950635;
fetchUnitStalled_1;0,447188943799896;0,699214703448523;0,335562747128866;0,331497910865512;Non un numero reale;Non un numero reale;0,987038530809586;1;0,927783992791475;-0,542331531663265;-0,559389818352199;1;0,999999902649912;
fastPath_1;0,447069604040142;0,699375718926096;0,335467274428362;0,331403533523447;Non un numero reale;Non un numero reale;0,987082614720203;0,999999902649912;0,927688293451987;-0,542042973354172;-0,559103822950635;0,999999902649912;1;
