 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
vector_size;1;-0,169173254133059;0,967884355834837;0,968987523647619;0;0;0,259204626999611;0,396032722793698;-0,0670666564282658;-0,406594401782093;-0,407749479824949;0,396032722793698;0,395907876258992;
extechWatt;-0,169173254133059;1;-0,145432549142296;-0,14070140174067;-0,161893159299847;-0,512741420594536;-0,0152074784580519;-0,0737615711231461;0,132838730552049;-0,138502267930326;-0,144493692548659;-0,0737615711231461;-0,0737100736235679;
completionTime;0,967884355834837;-0,145432549142296;1;0,999883947436401;-0,092106837518096;-0,0989776029172233;0,133657531454963;0,266958059564584;-0,0315625085008489;-0,362817058260106;-0,36402542128863;0,266958059564584;0,266846256590329;
J;0,968987523647619;-0,14070140174067;0,999883947436401;1;-0,0886284734481473;-0,0985069720205768;0,135273122190787;0,267754769104079;-0,0325576778256881;-0,363626738168107;-0,364833777732719;0,267754769104079;0,267643282582337;
d0_mode_in;0;-0,161893159299847;-0,092106837518096;-0,0886284734481473;1;0,866025403784439;0,674162394958982;0,315293714859242;-0,892744996894276;0,488572782471183;0,497577659085079;0,315293714859242;0,315477089752356;
d0_mode_out;0;-0,512741420594536;-0,0989776029172233;-0,0985069720205768;0,866025403784439;1;0,592482236877831;0,33740530448578;-0,710764486974253;0,480278673494862;0,488334516287601;0,33740530448578;0,337561019782125;
gpuBusy_1;0,259204626999611;-0,0152074784580519;0,133657531454963;0,135273122190787;0,674162394958982;0,592482236877831;1;0,871336879188054;-0,540156471569505;0,0835158560234249;0,0829444252457989;0,871336879188054;0,871463572489697;
waveFronts_1;0,396032722793698;-0,0737615711231461;0,266958059564584;0,267754769104079;0,315293714859242;0,33740530448578;0,871336879188054;1;-0,112670159458868;-0,220102998793217;-0,224981349587326;1;0,999999904848776;
AluBusy_1;-0,0670666564282658;0,132838730552049;-0,0315625085008489;-0,0325576778256881;-0,892744996894276;-0,710764486974253;-0,540156471569505;-0,112670159458868;1;-0,510254063453273;-0,520315153468431;-0,112670159458868;-0,112860544867256;
aluPacking_1;-0,406594401782093;-0,138502267930326;-0,362817058260106;-0,363626738168107;0,488572782471183;0,480278673494862;0,0835158560234249;-0,220102998793217;-0,510254063453273;1;0,999798993241962;-0,220102998793217;-0,219772782484096;
fetchUnitBusy_1;-0,407749479824949;-0,144493692548659;-0,36402542128863;-0,364833777732719;0,497577659085079;0,488334516287601;0,0829444252457989;-0,224981349587326;-0,520315153468431;0,999798993241962;1;-0,224981349587326;-0,224651881085908;
fetchUnitStalled_1;0,396032722793698;-0,0737615711231461;0,266958059564584;0,267754769104079;0,315293714859242;0,33740530448578;0,871336879188054;1;-0,112670159458868;-0,220102998793217;-0,224981349587326;1;0,999999904848776;
fastPath_1;0,395907876258992;-0,0737100736235679;0,266846256590329;0,267643282582337;0,315477089752356;0,337561019782125;0,871463572489697;0,999999904848776;-0,112860544867256;-0,219772782484096;-0,224651881085908;0,999999904848776;1;
