 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,79018323720145;0,979032412346601;0,977217121897329;Non un numero reale;Non un numero reale;0,629800908423768;0,48047041949531;-0,430150295117757;0,45626827762035;0,506645730991347;0,48047041949531;0,48047041949531;
extechWatt;0,79018323720145;1;0,785404779777677;0,784699578936962;Non un numero reale;Non un numero reale;0,615148268585695;0,372305075439671;0,0350387220983702;0,679075230302987;0,699206803062527;0,372305075439671;0,372305075439671;
completionTime;0,979032412346601;0,785404779777677;1;0,999960274685874;Non un numero reale;Non un numero reale;0,499017408342716;0,305500488893475;-0,395556731314624;0,382543199043317;0,427506184776648;0,305500488893475;0,305500488893475;
J;0,977217121897329;0,784699578936962;0,999960274685874;1;Non un numero reale;Non un numero reale;0,492389476490434;0,297372480452317;-0,393655462550987;0,378588980876753;0,423258130809019;0,297372480452317;0,297372480452317;
d0_mode_in;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
d0_mode_out;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;
gpuBusy_2;0,629800908423768;0,615148268585695;0,499017408342716;0,492389476490434;Non un numero reale;Non un numero reale;1;0,816157574834021;-0,0109687904777136;0,856452358042304;0,887163628207984;0,816157574834021;0,816157574834021;
waveFronts_2;0,48047041949531;0,372305075439671;0,305500488893475;0,297372480452317;Non un numero reale;Non un numero reale;0,816157574834021;1;-0,308994736593651;0,553433913937397;0,596929269792918;1;1;
AluBusy_2;-0,430150295117757;0,0350387220983702;-0,395556731314624;-0,393655462550987;Non un numero reale;Non un numero reale;-0,0109687904777136;-0,308994736593651;1;0,448047259303006;0,38170543125297;-0,308994736593651;-0,308994736593651;
aluPacking_2;0,45626827762035;0,679075230302987;0,382543199043317;0,378588980876753;Non un numero reale;Non un numero reale;0,856452358042304;0,553433913937397;0,448047259303006;1;0,997331228923805;0,553433913937397;0,553433913937397;
fetchUnitBusy_2;0,506645730991347;0,699206803062527;0,427506184776648;0,423258130809019;Non un numero reale;Non un numero reale;0,887163628207984;0,596929269792918;0,38170543125297;0,997331228923805;1;0,596929269792918;0,596929269792918;
fetchUnitStalled_2;0,48047041949531;0,372305075439671;0,305500488893475;0,297372480452317;Non un numero reale;Non un numero reale;0,816157574834021;1;-0,308994736593651;0,553433913937397;0,596929269792918;1;1;
fastPath_2;0,48047041949531;0,372305075439671;0,305500488893475;0,297372480452317;Non un numero reale;Non un numero reale;0,816157574834021;1;-0,308994736593651;0,553433913937397;0,596929269792918;1;1;
