 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;
vector_size;1;0,451994463988447;0,935517138986316;0,934779321443727;0;0;0,584095715326182;0,374117306881732;-0,107518420038028;0,104525627344004;0,116920121070175;0,374117306881732;0,374117306881732;
extechWatt;0,451994463988447;1;0,445548966810164;0,447475216495257;-0,500238749960949;-0,60992772899605;0,506610146881985;0,0942932714597511;-0,360640695499627;-0,332905634091246;-0,327757362969382;0,0942932714597511;0,0942932714597511;
completionTime;0,935517138986316;0,445548966810164;1;0,999939208452865;-0,110195760379626;-0,143309560730756;0,477555809842704;0,179954400815841;-0,172456698831972;-0,0272367415337956;-0,0172848084452;0,179954400815841;0,179954400815841;
J;0,934779321443727;0,447475216495257;0,999939208452865;1;-0,10837155933274;-0,143087135536721;0,478397354642493;0,176227622743534;-0,173512790307675;-0,0309009943939437;-0,0210668677625372;0,176227622743534;0,176227622743534;
d0_mode_in;0;-0,500238749960949;-0,110195760379626;-0,10837155933274;1;0,866025403784439;0,307312758541059;0,27091833140689;0,340246449892051;0,188240522052401;0,175632078809149;0,27091833140689;0,27091833140689;
d0_mode_out;0;-0,60992772899605;-0,143309560730756;-0,143087135536721;0,866025403784439;1;0,0990247319929741;0,333714591900355;0,690794072331215;0,537232278281038;0,518520848536336;0,333714591900355;0,333714591900355;
gpuBusy_2;0,584095715326182;0,506610146881985;0,477555809842704;0,478397354642493;0,307312758541059;0,0990247319929741;1;0,556726312132619;-0,0905472207280398;-0,0588189034274474;-0,0573768687587442;0,556726312132619;0,556726312132619;
waveFronts_2;0,374117306881732;0,0942932714597511;0,179954400815841;0,176227622743534;0,27091833140689;0,333714591900355;0,556726312132619;1;0,167056326358271;0,312171097481175;0,316122175997853;1;1;
AluBusy_2;-0,107518420038028;-0,360640695499627;-0,172456698831972;-0,173512790307675;0,340246449892051;0,690794072331215;-0,0905472207280398;0,167056326358271;1;0,754538022801817;0,723128570969171;0,167056326358271;0,167056326358271;
aluPacking_2;0,104525627344004;-0,332905634091246;-0,0272367415337956;-0,0309009943939437;0,188240522052401;0,537232278281038;-0,0588189034274474;0,312171097481175;0,754538022801817;1;0,998900036066765;0,312171097481175;0,312171097481175;
fetchUnitBusy_2;0,116920121070175;-0,327757362969382;-0,0172848084452;-0,0210668677625372;0,175632078809149;0,518520848536336;-0,0573768687587442;0,316122175997853;0,723128570969171;0,998900036066765;1;0,316122175997853;0,316122175997853;
fetchUnitStalled_2;0,374117306881732;0,0942932714597511;0,179954400815841;0,176227622743534;0,27091833140689;0,333714591900355;0,556726312132619;1;0,167056326358271;0,312171097481175;0,316122175997853;1;1;
fastPath_2;0,374117306881732;0,0942932714597511;0,179954400815841;0,176227622743534;0,27091833140689;0,333714591900355;0,556726312132619;1;0,167056326358271;0,312171097481175;0,316122175997853;1;1;
