total error;
avg err;MSE;
0,034961440569851;0,261499678931073;
programs error;
program;avg err;MSE;
0;0,013772262176003;0,0865795223962323
1;0,0135805883670379;0,231135040901589
2;-0,013907772399823;0,2956972164499
3;0,0788194870762966;0,169647262683561
4;0,0673736919459513;0,407049093531191
5;0,251426471835698;0,634666032127146
6;0,00683964624791696;0,144962379174563
7;0,0143636352364311;0,124805010970982
8;-0,0372610569855386;0,152516750963788
9;-0,00618316774539285;0,111724046334327
10;0,0257235409642292;0,184998913106373
11;0,0201669547698094;0,110065006115373
12;0,0197844459194433;0,157668073626121

programs splitup;
program;splitup;
0;0,145496373536379;0;1,87377637589187;0;
1;0;0,304269479023118;0,317086804831108;0,307456047578686;
2;0,230154335348244;0,424193859119343;0,0521270352559079;0,0509213642771691;
3;0,148522823567849;0;0,631768631492038;0,1549516671944;
4;0,021343137272448;0,0200030244499281;0;0,659877488565346;
5;0,208526519280241;0,795888439027494;0;0,121129488266721;
6;0,197926552028673;0,118704523854954;0,536470528538065;0;
7;0,291551790216468;0,0937328902678076;0,427837841097;0,200524735275675;
8;0,0284772162683831;0,0630603550882893;0,340261793097317;0;
9;0,358246426238327;0,0500926653353029;0,450328096189128;0;
10;0,218823961352164;0,0217630043527226;0;1,198232371215;
11;0,567610141119191;0;0,562372027188643;0;
12;0,919834824814751;0;0,434313183359125;0,282034776062424;

buckets;
bucket;number;
-90;1;
-89;0;
-88;0;
-87;0;
-86;0;
-85;0;
-84;0;
-83;0;
-82;0;
-81;0;
-80;0;
-79;0;
-78;11;
-77;0;
-76;2;
-75;1;
-74;6;
-73;1;
-72;0;
-71;2;
-70;8;
-69;10;
-68;1;
-67;4;
-66;0;
-65;18;
-64;21;
-63;21;
-62;14;
-61;13;
-60;14;
-59;12;
-58;2;
-57;10;
-56;23;
-55;15;
-54;44;
-53;35;
-52;38;
-51;59;
-50;50;
-49;53;
-48;69;
-47;50;
-46;93;
-45;83;
-44;78;
-43;69;
-42;47;
-41;78;
-40;75;
-39;78;
-38;95;
-37;144;
-36;147;
-35;150;
-34;198;
-33;189;
-32;242;
-31;364;
-30;307;
-29;205;
-28;243;
-27;201;
-26;230;
-25;240;
-24;271;
-23;276;
-22;268;
-21;257;
-20;233;
-19;294;
-18;313;
-17;347;
-16;378;
-15;455;
-14;523;
-13;795;
-12;829;
-11;891;
-10;831;
-9;649;
-8;815;
-7;902;
-6;959;
-5;1361;
-4;1328;
-3;1548;
-2;1814;
-1;2164;
0;5691;
1;1985;
2;1502;
3;1318;
4;1298;
5;1496;
6;1382;
7;1341;
8;1219;
9;1169;
10;1072;
11;1139;
12;909;
13;816;
14;625;
15;664;
16;593;
17;486;
18;463;
19;458;
20;419;
21;407;
22;433;
23;355;
24;371;
25;320;
26;303;
27;281;
28;239;
29;205;
30;296;
31;186;
32;187;
33;181;
34;163;
35;142;
36;121;
37;145;
38;123;
39;90;
40;107;
41;106;
42;98;
43;106;
44;103;
45;90;
46;87;
47;75;
48;68;
49;85;
50;49;
51;44;
52;36;
53;58;
54;66;
55;47;
56;39;
57;43;
58;43;
59;39;
60;28;
61;25;
62;21;
63;23;
64;28;
65;21;
66;22;
67;21;
68;30;
69;16;
70;9;
71;21;
72;15;
73;23;
74;24;
75;22;
76;22;
77;16;
78;12;
79;8;
80;18;
81;9;
82;3;
83;8;
84;7;
85;5;
86;9;
87;0;
88;5;
89;8;
90;8;
91;1;
92;1;
93;14;
94;8;
95;6;
96;3;
97;8;
98;8;
99;4;
100;6;
101;8;
102;4;
103;2;
104;2;
105;0;
106;2;
107;3;
108;2;
109;10;
110;4;
111;4;
112;2;
113;6;
114;2;
115;3;
116;5;
117;1;
118;3;
119;5;
120;2;
121;2;
122;0;
123;1;
124;2;
125;3;
126;2;
127;10;
128;7;
129;10;
130;4;
131;5;
132;2;
133;0;
134;2;
135;8;
136;4;
137;5;
138;4;
139;3;
140;2;
141;3;
142;4;
143;7;
144;8;
145;5;
146;4;
147;1;
148;2;
149;4;
150;1;
151;3;
152;6;
153;2;
154;3;
155;2;
156;3;
157;3;
158;3;
159;5;
160;0;
161;4;
162;1;
163;2;
164;7;
165;4;
166;6;
167;4;
168;11;
169;5;
170;6;
171;2;
172;3;
173;0;
174;1;
175;1;
176;1;
177;0;
178;0;
179;0;
180;3;
181;0;
182;0;
183;2;
184;1;
185;3;
186;6;
187;0;
188;3;
189;10;
190;6;
191;4;
192;1;
193;2;
194;1;
195;2;
196;3;
197;1;
198;2;
199;4;
200;2;
201;3;
202;2;
203;2;
204;5;
205;4;
206;7;
207;7;
208;1;
209;8;
210;2;
211;7;
212;2;
213;5;
214;4;
215;6;
216;4;
217;2;
218;9;
219;8;
220;3;
221;7;
222;3;
223;5;
224;3;
225;11;
226;11;
227;12;
228;3;
229;6;
230;9;
231;2;
232;4;
233;2;
234;2;
235;3;
236;1;
237;1;
238;3;
239;2;
240;7;
241;6;
242;1;
243;0;
244;5;
245;0;
246;0;
247;0;
248;1;
249;2;
250;0;
251;0;
252;0;
253;0;
254;0;
255;1;
256;1;
257;0;
258;0;
259;0;
260;0;
261;2;
262;1;
263;0;
264;0;
265;0;
266;0;
267;0;
268;0;
269;0;
270;1;
