total error;
avg err;MSE;
0,0153514769444877;0,10070398026882;
programs error;
program;avg err;MSE;
0;-0,0134408500555016;0,0999537057278541
1;0,0528191744993429;0,14828220097936
2;-0,000673331784065206;0,0439369687107787
3;-0,00545911313997412;0,129806487733711
4;0,0159738539328922;0,0852598974403311
5;0,0215333998262574;0,08186629299102
6;0,0367072053324625;0,0792841140275392

programs splitup;
program;splitup;
0;1,10163539275661;0;0,159451028204046;0,0654490360165532;0,0824448810454578;
1;2,03737071184537;0;0,373075303037394;0;0;
2;0,373764413747927;0,0279304386655067;0,892758234955463;0;0,109880108233285;
3;0,73710898461615;0,0545997013168657;0,000775955129639151;0,232541507843671;0;
4;0,50831767269225;0,216131346179665;0,401661624457811;0;0,0975073227345432;
5;0,95085389643725;0;0,727540299120435;0;0;
6;0,870104035054706;0;0,400602166724912;0;0;

buckets;
bucket;number;
-35;1;
-34;2;
-33;2;
-32;4;
-31;5;
-30;12;
-29;12;
-28;17;
-27;10;
-26;7;
-25;11;
-24;13;
-23;15;
-22;14;
-21;20;
-20;23;
-19;29;
-18;44;
-17;54;
-16;62;
-15;48;
-14;51;
-13;94;
-12;71;
-11;137;
-10;186;
-9;253;
-8;252;
-7;236;
-6;296;
-5;448;
-4;433;
-3;653;
-2;837;
-1;1157;
0;3432;
1;1409;
2;1006;
3;612;
4;481;
5;334;
6;286;
7;226;
8;258;
9;294;
10;286;
11;255;
12;201;
13;191;
14;147;
15;137;
16;123;
17;80;
18;81;
19;47;
20;55;
21;34;
22;39;
23;37;
24;35;
25;17;
26;33;
27;27;
28;23;
29;26;
30;11;
31;11;
32;9;
33;7;
34;4;
35;2;
36;5;
37;2;
38;1;
39;5;
40;6;
41;3;
42;3;
43;4;
44;3;
45;2;
46;6;
47;6;
48;1;
49;3;
50;4;
51;1;
52;1;
53;1;
54;2;
55;1;
56;1;
57;3;
58;1;
59;1;
60;2;
61;2;
62;2;
63;3;
64;4;
65;5;
66;2;
67;8;
68;4;
69;3;
70;3;
71;1;
72;2;
73;1;
74;2;
75;3;
76;3;
77;1;
78;2;
79;0;
80;0;
81;1;
82;0;
83;0;
84;1;
85;0;
86;0;
87;0;
88;0;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1;
96;2;
97;0;
98;0;
99;1;
100;0;
101;1;
102;1;
103;0;
104;0;
105;0;
106;0;
107;0;
108;0;
109;0;
110;0;
111;0;
112;1;
113;0;
114;0;
115;0;
116;1;
117;1;
118;0;
119;0;
120;0;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;0;
132;0;
133;0;
134;0;
135;0;
136;0;
137;0;
138;0;
139;0;
140;0;
141;0;
142;0;
143;0;
144;0;
145;0;
146;0;
147;0;
148;0;
149;0;
150;0;
151;0;
152;0;
153;0;
154;0;
155;0;
156;0;
157;0;
158;0;
159;0;
160;0;
161;0;
162;0;
163;0;
164;0;
165;0;
166;0;
167;0;
168;0;
169;0;
170;0;
171;0;
172;0;
173;0;
174;0;
175;0;
176;0;
177;0;
178;0;
179;0;
180;0;
181;0;
182;0;
183;0;
184;0;
185;0;
186;0;
187;0;
188;0;
189;0;
190;0;
191;0;
192;0;
193;0;
194;0;
195;0;
196;0;
197;0;
198;0;
199;0;
200;0;
201;0;
202;0;
203;0;
204;0;
205;0;
206;0;
207;0;
208;0;
209;0;
210;0;
211;0;
212;0;
213;0;
214;0;
215;0;
216;1;
217;0;
218;0;
219;1;
