program;measured;estimated;error;perc;;K;Percentili
401.bzip2_linux64_0 ;517,7841675;772,6724535;254,888286;0,492267439;;0,1;0
401.bzip2_linux_0 ;586,4106598;848,3169427;261,9062829;0,446626061;;0,2;1,05712E-16
435.gromacs_linux64_0 ;512,9060425;512,9060425;0;0;;0,3;0,000552205
435.gromacs_linux_0 ;847,7994141;847,7994141;0;0;;0,4;0,001558723
445.gobmk_linux64_0 ;455,3027649;455,3027649;0;0;;0,5;0,003342213
445.gobmk_linux_0 ;469,8612;486,4436646;16,58246467;0,035292262;;0,6;0,064008512
444.namd_linux64_0 ;430,1751343;430,1751343;5,68E-14;1,32E-16;;0,7;0,245052995
444.namd_linux_0 ;497,9566162;498,2965156;0,339899427;0,000682588;;0,8;0,445974261
410.bwaves_linux64_0 ;697,8913116;697,8913116;0;0;;0,9;0,662650235
410.bwaves_linux_0 ;527,635144;766,214741;238,579597;0,452167752;;;
429.mcf_linux64_0 ;593,4364014;593,4364014;0;0;;;
429.mcf_linux_0 ;385,0555847;651,5337145;266,4781297;0,692051071;;;
464.h264ref_linux64_0 ;593,8057007;594,2469712;0,441270496;0,000743123;;;
464.h264ref_linux_0 ;709,8929932;710,4269149;0,533921738;0,000752116;;;
458.sjeng_linux64_0 ;534,4016724;741,6369528;207,2352805;0,387789356;;;
458.sjeng_linux_0 ;555,7206787;814,2430723;258,5223936;0,46520204;;;
471.omnetpp_linux64_0 ;545,413623;544,3445986;1,069024446;0,001960025;;;
471.omnetpp_linux_0 ;480,0083496;597,6358334;117,6274837;0,245052995;;;
434.zeusmp_linux64_0 ;601,9905151;601,6523367;0,338178485;0,000561767;;;
434.zeusmp_linux_0 ;626,3603516;660,5539883;34,19363672;0,054590998;;;
471.omnetpp_linux64_0 ;545,413623;544,3445986;1,069024446;0,001960025;;;
471.omnetpp_linux_0 ;480,0083496;597,6358334;117,6274837;0,245052995;;;
436.cactusADM_linux64_0 ;1294,430054;1294,430054;0;0;;;
436.cactusADM_linux_0 ;1229,286035;1329,651397;100,3653619;0,081645247;;;
465.tonto_linux64_0 ;478,0961182;478,3494582;0,25334;0,000529893;;;
465.tonto_linux_0 ;576,7587158;576,7587158;1,14E-13;1,97E-16;;;
483.xalancbmk_linux64_0 ;375,1546997;630,1418188;254,9871191;0,679685259;;;
483.xalancbmk_linux_0 ;333,8898193;691,8325854;357,9427661;1,072038575;;;
462.libquantum_linux64_0 ;656,315686;823,1390432;166,8233571;0,254181579;;;
462.libquantum_linux_0 ;788,650061;903,7242021;115,0741411;0,145912803;;;
470.lbm_linux64_0 ;518,6700928;517,0756392;1,594453534;0,003074119;;;
470.lbm_linux_0 ;766,7813354;766,7813354;1,14E-13;1,48E-16;;;
437.leslie3d_linux64_0 ;558,0324219;556,6594261;1,372995777;0,002460423;;;
437.leslie3d_linux_0 ;610,7346924;611,1562802;0,421587789;0,000690296;;;
433.milc_linux64_0 ;691,6740967;689,4233413;2,250755378;0,003254069;;;
433.milc_linux_0 ;749,0986938;749,0986938;1,14E-13;1,52E-16;;;
450.soplex_linux64_0 ;397,9876282;396,1261082;1,861519951;0,004677331;;;
450.soplex_linux_0 ;404,5389771;434,9067804;30,36780334;0,075067682;;;
403.gcc_linux64_0 ;438,9916077;531,6415903;92,64998259;0,211051831;;;
403.gcc_linux_0 ;380,5916748;583,6892029;203,0975281;0,533636287;;;
482.sphinx3_linux64_0 ;891,3069092;888,2494077;3,057501456;0,003430358;;;
482.sphinx3_linux_0 ;721,4483032;975,2088592;253,760556;0,351737685;;;
456.hmmer_linux64_0 ;415,2043884;415,2043884;5,68E-14;1,37E-16;;;
456.hmmer_linux_0 ;520,7085205;521,4398549;0,731334372;0,001404499;;;
416.gamess_linux64_0 ;797,1449097;797,1449097;0;0;;;
416.gamess_linux_0 ;940,35448;941,9169165;1,562436487;0,00166154;;;
999.specrand_linux64_0 ;0,119412519;0,119412519;0;0;;;
999.specrand_linux_0 ;0,123746535;0,130755011;0,007008476;0,056635731;;;
447.dealII_linux64_0 ;362,0252991;682,587735;320,5624359;0,885469708;;;
447.dealII_linux_0 ;393,494574;749,4129471;355,9183731;0,904506432;;;
473.astar_linux64_0 ;523,4100586;523,4100586;0;0;;;
473.astar_linux_0 ;553,6297119;574,6518058;21,02209387;0,037971398;;;
400.perlbench_linux64_0 ;386,4854187;558,7849898;172,2995711;0,445811311;;;
400.perlbench_linux_0 ;369,4036926;613,4899361;244,0862435;0,660757454;;;
481.wrf_linux64_0 ;636,1108032;759,0846885;122,9738852;0,193321485;;;
481.wrf_linux_0 ;833,398938;833,398938;0;0;;;
459.gemsFDTD_linux64_0 ;818,319873;456,1968911;362,122982;0,442520088;;;
459.gemsFDTD_linux_0 ;647,5968384;647,5968384;0;0;;;
998.specrand_linux64_0 ;0,277324063;0,277324063;0;0;;;
998.specrand_linux_0 ;0,130965525;0,286662907;0,155697382;1,188842499;;;
;;;;;;;
;;;;0,196078803;;;
;;;;0,298908375;;;
