program;measured;estimated;error;perc;;;
heap_linux64_4194304 ;2,291697764;4,484989269;2,193291504;0,957059669;;0,1;0,000595923
heap_linux_4194304 ;2,159383249;4,719743169;2,560359919;1,185690368;;0,2;0,002109929
heap_win_4194304 ;2,338533783;3,697091256;1,358557473;0,580944129;;0,3;0,118313314
heap_linux64_16777216 ;11,99040823;11,96412197;0,026286259;0,002192274;;0,4;0,136904964
heap_linux_16777216 ;11,37088556;13,13540728;1,764521719;0,155178918;;0,5;0,241445372
heap_win_16777216 ;11,67226772;7,847127563;3,82514016;0,327711825;;0,6;0,369809783
heap_linux64_67108864 ;60,4931385;52,48768973;8,005448773;0,132336476;;0,7;0,4156999
heap_linux_67108864 ;57,51198235;57,62622477;0,114242428;0,001986411;;0,8;0,731390345
heap_win_67108864 ;57,12346725;34,42606134;22,69740592;0,39733943;;0,9;1,117101158
heap_linux64_268435456 ;306,1049835;265,9392186;40,16576493;0,131215652;;;
heap_linux_268435456 ;291,9746185;291,9746185;0;0;;;
heap_win_268435456 ;281,4846985;174,4264207;107,0582778;0,380334272;;;
;;;;;;;
;;;;0,354332452;;;
;;;;0,367587933;;;
