program;measured;estimated;error;perc
merges_linux64_4194304 ;1,256089973;3,197623616;1,941533643;1,545696315
merges_linux_4194304 ;1,262292874;3,268635401;2,006342527;1,589442964
merges_win_4194304 ;1,303674579;2,992143018;1,688468439;1,295160976
merges_linux64_16777216 ;5,453778934;5,453778934;8,88E-16;1,63E-16
merges_linux_16777216 ;5,479008675;5,751396344;0,272387669;0,049714772
merges_win_16777216 ;5,413509655;4,450749521;0,962760134;0,177843986
merges_linux64_67108864 ;23,59853001;23,59853001;0;0
merges_linux_67108864 ;23,6874424;25,9088217;2,221379298;0,093778774
merges_win_67108864 ;22,58049164;15,47799962;7,102492023;0,314541071
merges_linux64_268435456 ;101,6347397;93,03001957;8,604720119;0,084663179
merges_linux_268435456 ;102,1376411;102,1376411;0;0
merges_win_268435456 ;94,64481354;61,01730094;33,6275126;0,355302223
;;;;
;;;;0,458845355
;;;;
;;;;
;;;;1,20E-01
