program;measured;estimated;error;perc;;;
quick_linux64_4194304 ;1,060220289;2,12588834;1,065668051;1,00513833;;0,1;0,000405496
quick_linux_4194304 ;1,040910459;2,153600968;1,112690509;1,06895891;;0,2;0,00130597
quick_win_4194304 ;1,012857938;2,061368001;1,048510064;1,035199532;;0,3;0,022910374
quick_linux64_16777216 ;4,536172342;4,528887625;0,007284717;0,001605917;;0,4;0,065595847
quick_linux_16777216 ;4,468834352;4,720716271;0,251881919;0,056364121;;0,5;0,103102069
quick_win_16777216 ;4,001628923;3,900477607;0,101151316;0,025277535;;0,6;0,258333566
quick_linux64_67108864 ;19,50210953;17,50269962;1,999409907;0,10252275;;0,7;0,382291128
quick_linux_67108864 ;19,21212997;19,21621065;0,004080677;0,000212401;;0,8;1,017162811
quick_win_67108864 ;16,71215591;11,47981582;5,232340099;0,313085883;;0,9;1,058831097
quick_linux64_268435456 ;83,99380646;75,28521213;8,708594331;0,103681387;;;
quick_linux_268435456 ;82,58492355;82,65562036;0,07069681;0,00085605;;;
quick_win_268435456 ;70,23961792;49,37868944;20,86092848;0,296996611;;;
;;;;;;;
;;;;0,334158286;;;
;;;;0,417929708;;;
