program;462.libquantum_linux64;465.tonto_linux64;459.gemsFDTD_linux64;450.soplex_linux64
401.bzip2_linux64_0 ;0.11268002110996;0;0;1.23144577723141
435.gromacs_linux64_0 ;0.353239677861497;0.587892874029803;0;0
445.gobmk_linux64_0 ;0.685803762814659;0;0;0.0139838148764414
444.namd_linux64_0 ;0.602572588041347;0.0394232583753467;0;0
410.bwaves_linux64_0 ;0.556104658012642;0.154420157192928;0;0
429.mcf_linux64_0 ;0;0;0.395833055630456;0.677202823546563
464.h264ref_linux64_0 ;0.606017055216975;0.404334970023265;0;0
458.sjeng_linux64_0 ;0.817182783523301;0;0;0
471.omnetpp_linux64_0 ;0;0.315886397498703;0.432115907390836;0.378376255876108
434.zeusmp_linux64_0 ;0.0056364776120511;0.673285873732615;0.360705354616137;0
471.omnetpp_linux64_0 ;0;0.315886397498703;0.432115907390836;0.378376255876108
436.cactusADM_linux64_0 ;0;0.701376641710789;1.17204119749286;0
465.tonto_linux64_0 ;0;1;0;0
483.xalancbmk_linux64_0 ;0.105888551675387;0.344208024043309;0.0749024213856958;0.20050804730242
462.libquantum_linux64_0 ;1;0;0;0
470.lbm_linux64_0 ;0;0;0.593499851910613;0
437.leslie3d_linux64_0 ;0.0506191567439203;0.320326175793435;0.594834393124082;0
433.milc_linux64_0 ;0;0.110507826517804;1.0572371793644;0
450.soplex_linux64_0 ;0;0;0;1
403.gcc_linux64_0 ;0;0.419400330504345;0;0.598928686202229
482.sphinx3_linux64_0 ;0.0495156848729453;0.518019878295737;0.131047111311772;1.1854521575117
456.hmmer_linux64_0 ;0;0.867414843933597;0;0
416.gamess_linux64_0 ;0.693075719796286;0.686495642257438;0;0
999.specrand_linux64_0 ;0.000134673248661885;3.04052091871019E-05;0;0
447.dealII_linux64_0 ;0.498054321741307;0;0;0.0898499984648208
473.astar_linux64_0 ;0.0917839435941478;0;0;1.18961169750543
400.perlbench_linux64_0 ;0.523657615333293;0;0;0.10913304989341
481.wrf_linux64_0 ;0;1.23926966536025;0.104242934528978;0
459.gemsFDTD_linux64_0 ;0;0;1;0
998.specrand_linux64_0 ;0.000133594483914091;4.43967751447909E-05;0;0
