program;462.libquantum_linux64;465.tonto_linux64;459.gemsFDTD_linux64;450.soplex_linux64;470.lbm_linux64
401.bzip2_linux64_0 ;0.11268002110996;0;0;1.23144577723141;0
435.gromacs_linux64_0 ;0.353239677861497;0.587892874029803;0;0;0
445.gobmk_linux64_0 ;0.685803762814659;0;0;0.0139838148764414;0
444.namd_linux64_0 ;0.602572588041347;0.0394232583753467;0;0;0
410.bwaves_linux64_0 ;0.569009640198338;0.13677410398343;0;0;0
429.mcf_linux64_0 ;0;0;0.0707312778190314;0.682504212547216;0.567950794444942
464.h264ref_linux64_0 ;0.676122652152319;0.308700811305795;0;0;0
458.sjeng_linux64_0 ;0.817182783523301;0;0;0;0
471.omnetpp_linux64_0 ;0;0.0651286975406642;0.0912414130997801;0.461808760061105;0.568974507277234
434.zeusmp_linux64_0 ;0;0.751266622868229;0.119694882692474;0;0.279299230563514
471.omnetpp_linux64_0 ;0;0.0651286975406642;0.0912414130997801;0.461808760061105;0.568974507277234
436.cactusADM_linux64_0 ;0;0;0.161786158111695;0;1.46653782334288
465.tonto_linux64_0 ;0;1;0;0;0
483.xalancbmk_linux64_0 ;0.0689900234295696;0.376328075031928;0.000170157871482922;0.238561969524863;0.105790787042456
462.libquantum_linux64_0 ;1;0;0;0;0
470.lbm_linux64_0 ;0;0;0;0;1
437.leslie3d_linux64_0 ;0.0488745137245492;0.348041746705398;0.350943552174654;0;0.355544680356467
433.milc_linux64_0 ;0;0;0.677859787259204;0;0.815161266671491
450.soplex_linux64_0 ;0;0;0;1;0
403.gcc_linux64_0 ;0;0.419400330504345;0;0.59892868620223;0
482.sphinx3_linux64_0 ;0;0.58743890767153;0.0680872713178988;1.22902315856991;0.0491238067054539
456.hmmer_linux64_0 ;0;0.867414843933597;0;0;0
416.gamess_linux64_0 ;0.743542182536877;0.617652098822609;0;0;0
999.specrand_linux64_0 ;0.000134673248661885;3.04052091871019E-05;0;0;0
447.dealII_linux64_0 ;0.498054321741307;0;0;0.0898499984648208;0
473.astar_linux64_0 ;0.0917839435941477;0;0;1.18961169750543;0
400.perlbench_linux64_0 ;0.523657615333293;0;0;0.10913304989341;0
481.wrf_linux64_0 ;0;1.21999510250368;0;0;0.101867991373772
459.gemsFDTD_linux64_0 ;0;0;1;0;0
998.specrand_linux64_0 ;0.000133594483914091;4.43967751447909E-05;0;0;0
