program;445.gobmk_linux64;465.tonto_linux64;471.omnetpp_linux64;464.h264ref_linux64;998.specrand_linux64
401.bzip2_linux64_0 ;0.621048712975729;0.315733540884471;0.0577029830856664;0.0256549044062743;628.548541336116
435.gromacs_linux64_0 ;0.0262924383666986;0.621801611422457;0;0.342964181166768;0
444.namd_linux64_0 ;0.0296043248405495;0;0;0.681719108901921;0
410.bwaves_linux64_0 ;0;0.194290678890491;0.204897514270354;0.370934740956691;493.950322558357
429.mcf_linux64_0 ;0;0;1.1473488392515;0;0
458.sjeng_linux64_0 ;0.967480835227863;0;0;0;1035.29320838997
434.zeusmp_linux64_0 ;0;0.729938601673152;0.427829851711828;0;0
471.omnetpp_linux64_0 ;0;0;1;0;0
436.cactusADM_linux64_0 ;0;1.15068870120746;1.17834678917394;0;0
483.xalancbmk_linux64_0 ;0;0;0.390536161591163;0;1759.06444258817
462.libquantum_linux64_0 ;0.0633499721160304;0;0;1.02222255375941;253.622002997458
470.lbm_linux64_0 ;0;0;0.814580267585783;0;0
437.leslie3d_linux64_0 ;0;0.288854501015766;0.768791115435489;0;0
433.milc_linux64_0 ;0;0;1.37508153106812;0;0
450.soplex_linux64_0 ;0.141115632030494;0;0.663676996067259;0;0
403.gcc_linux64_0 ;0.0582590366609431;0.194140125141552;0.290387823720536;0.138017520711186;852.356230867454
482.sphinx3_linux64_0 ;0.158369535413054;0.0970137884341418;1.08986559182928;0;643.259598303606
456.hmmer_linux64_0 ;0;0;0;0.698250807291716;0
416.gamess_linux64_0 ;0;0;0;1.31787330201295;52.589126302209
999.specrand_linux64_0 ;0;0;0;1.51635322540056E-06;0.985048539486946
447.dealII_linux64_0 ;0.129484755208368;0.0203768883166927;0.0775121986848246;0.080242225976492;2208.45305268246
473.astar_linux64_0 ;0.627722968942853;0;0.538921968128633;0;0
400.perlbench_linux64_0 ;0.150431404647035;0;0.0711338433206029;0;3031.99830538319
481.wrf_linux64_0 ;0;1.25589321281853;0.0654056514874761;0;0
459.gemsFDTD_linux64_0 ;0;0.281770140624983;1.01056065994213;0;0
