program;445.gobmk_linux64;456.hmmer_linux64;471.omnetpp_linux64;464.h264ref_linux64;436.cactusADM_linux64;998.specrand_linux64
401.bzip2_linux64_0 ;0.588133102544434;0;0.10570553440311;0.284668141750116;0;539.844504979162
435.gromacs_linux64_0 ;0.103541321146427;0.518328541826472;0;0;0.193560947345033;0
445.gobmk_linux64_0 ;1;0;0;0;0;0
444.namd_linux64_0 ;0.116487219433495;0.850563664512386;0;0;0;0
410.bwaves_linux64_0 ;0;0.443790055039524;0;0;0.134460559334679;1224.48063483789
429.mcf_linux64_0 ;0;0;1.1473488392515;0;0;0
464.h264ref_linux64_0 ;6.31781844460522E-18;-6.71366958077403E-17;0;1;-7.39672371200816E-18;-1.80110133295338E-13
458.sjeng_linux64_0 ;0.938993291937074;0;0;0;0;1560.61198346821
471.omnetpp_linux64_0 ;-1.08333559371782E-34;0;1;0;0;0
434.zeusmp_linux64_0 ;0;0.425625235818183;0.1850598371517;0.0316440299796663;0.223953651306448;169.353166699226
471.omnetpp_linux64_0 ;-1.08333559371782E-34;0;1;0;0;0
436.cactusADM_linux64_0 ;0;0;0;0;1;0
465.tonto_linux64_0 ;0;0.303215426058633;0.174621055220077;0.471968780735787;0;0
483.xalancbmk_linux64_0 ;0;0;0.387142786398026;0;0;1976.51655970806
462.libquantum_linux64_0 ;0.120897568679731;0.342258893073224;0.0374208934857383;0.383269418290474;0.0568304391551719;1479.20135123304
470.lbm_linux64_0 ;0;0;0.163739865512124;0;0.383775083479404;0
437.leslie3d_linux64_0 ;0;0;0.505837138728761;0.13038599818219;0.223135780748449;0
433.milc_linux64_0 ;0;0;0.823870042066264;0;0.287674458628234;0
450.soplex_linux64_0 ;0.120934913325689;0;0.639644824211612;0;0.0328700878097831;0
403.gcc_linux64_0 ;0.0418609190330946;0;0.318956956814064;0.279640106670194;0;859.008315375164
482.sphinx3_linux64_0 ;0.158799563007898;0;1.04619451138765;0.0513456217135968;0.0341689188357092;626.262612298861
456.hmmer_linux64_0 ;0;1;0;0;0;0
416.gamess_linux64_0 ;0.0981938755971122;1.30442717377569;0;0.0886777983885394;0;1446.21732833774
999.specrand_linux64_0 ;0;1.63462791788614E-06;0;0;0;0.987469982150451
447.dealII_linux64_0 ;0.129413797127386;0;0.105350863026864;0.0622300613781838;0;2266.36473902673
473.astar_linux64_0 ;0.627722968942853;0;0.538921968128633;0;0;0
400.perlbench_linux64_0 ;0.148866596432995;0;0.0707172094031747;0;0;3083.33231272129
481.wrf_linux64_0 ;0;1.31056390182203;0.164998370572053;0;0;548.056842755767
459.gemsFDTD_linux64_0 ;0;0;0.722006376013406;0;0.244880150601404;0
998.specrand_linux64_0 ;0;0;0;0;0;1
