program;445.gobmk_linux64;456.hmmer_linux64;471.omnetpp_linux64;464.h264ref_linux64;436.cactusADM_linux64;482.sphinx3_linux64;998.specrand_linux64;473.astar_linux64
401.bzip2_linux64_0 ;0.0376957744079758;0;0;0;0;0;1901.04467002498;0.663890187795034
435.gromacs_linux64_0 ;0;0.82830763572665;0;0;0.088755150609057;0;0;0.103363972281912
445.gobmk_linux64_0 ;1;0;8.83026896413861E-19;0;0;0;0;0
444.namd_linux64_0 ;0.116487219433495;0.850563664512386;0;0;0;0;0;0
410.bwaves_linux64_0 ;0;0.443790055039524;0;0;0.134460559334679;0;1224.48063483789;0
429.mcf_linux64_0 ;0;0;1.12826546946014;0;0;0;0;0.0333919173444569
464.h264ref_linux64_0 ;0;0;0;1;0;0;0;0
458.sjeng_linux64_0 ;0.938993291937074;0;0;0;0;0;1560.61198346821;0
471.omnetpp_linux64_0 ;0;0;1;0;0;0;0;0
434.zeusmp_linux64_0 ;0;0.438218997989868;0.160816946492939;0;0.223269674863775;0.0276863579995068;202.6940984528;0
471.omnetpp_linux64_0 ;0;0;1;0;0;0;0;0
436.cactusADM_linux64_0 ;0;-3.61708527725516E-17;3.34535002946699E-17;0;1;0;0;-1.89998458503783E-18
465.tonto_linux64_0 ;0;0.325211030049943;0.147037413298052;0.474432274927826;0;0;0;0
483.xalancbmk_linux64_0 ;0;0;0.387142786398026;0;0;0;1976.51655970806;0
462.libquantum_linux64_0 ;0.120897568679731;0.342258893073224;0.0374208934857384;0.383269418290475;0.0568304391551716;0;1479.20135123304;0
470.lbm_linux64_0 ;0;0;0.163739865512124;0;0.383775083479404;0;0;0
437.leslie3d_linux64_0 ;0;0;0.505837138728761;0.13038599818219;0.223135780748449;0;0;0
433.milc_linux64_0 ;0;0;0.823870042066264;0;0.287674458628234;0;0;0
450.soplex_linux64_0 ;0;0;0.362843682953639;0;0.0293959045766075;0.150114848769349;0;0.154438522498886
403.gcc_linux64_0 ;0;0;0;0.0767995686020353;0;0.32372927200772;1052.57292987546;0.0149719211367951
482.sphinx3_linux64_0 ;0;0;0;0;0;1;0;0
456.hmmer_linux64_0 ;0;1;0;0;0;0;0;0
416.gamess_linux64_0 ;0.0981938755971122;1.30442717377569;0;0.0886777983885394;0;0;1446.21732833774;0
999.specrand_linux64_0 ;0;1.42128595031952E-06;0;0;5.03990822763895E-08;0;0.987722915181565;0
447.dealII_linux64_0 ;0.109079179549255;0;0.0362753915059068;0.0718055272409567;0;0.0370207558848898;2253.80244869769;0.0180431482497412
473.astar_linux64_0 ;0;0;0;0;0;0;0;1
400.perlbench_linux64_0 ;0.0369587631828198;0;0.00670535528455816;0;0;0;3263.62427874417;0.131544311357092
481.wrf_linux64_0 ;0;1.31056390182203;0.164998370572053;0;0;0;548.056842755767;0
459.gemsFDTD_linux64_0 ;0;0;0.507336231298161;0;0.418417186373939;0;0;0
998.specrand_linux64_0 ;0;0;0;0;0;0;1;0
